1, RaunerFirst, RaunerFirst, 90, 90, right, -2.130035, -1.603394, 90.24596, 20210825, 00:33:21.43807, 746.8255
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.13739, -1.606812, 90.24328, 20210825, 00:33:21.45203, 746.8395
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.113861, -1.598694, 90.24341, 20210825, 00:33:21.46590, 746.8533
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.109802, -1.608185, 90.24373, 20210825, 00:33:21.47971, 746.8672
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.144989, -1.642487, 90.26589, 20210825, 00:33:21.49368, 746.8812
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.206818, -1.725952, 90.4073, 20210825, 00:33:21.50713, 746.895
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.303528, -1.741333, 90.79337, 20210825, 00:33:21.52152, 746.9091
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.193298, -1.735809, 91.36206, 20210825, 00:33:21.53534, 746.9229
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.920166, -1.555939, 92.09904, 20210825, 00:33:21.54893, 746.9368
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.848389, -1.417572, 92.7897, 20210825, 00:33:21.56318, 746.9507
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.911987, -1.263672, 93.48534, 20210825, 00:33:21.57726, 746.9648
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.981506, -1.13559, 94.18224, 20210825, 00:33:21.59084, 746.9787
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.036591, -1.019135, 94.92154, 20210825, 00:33:21.60499, 746.9926
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.13623, -0.8895569, 95.71281, 20210825, 00:33:21.61922, 747.0065
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.209259, -0.7948914, 96.55915, 20210825, 00:33:21.63300, 747.0206
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.195374, -0.7131348, 97.50034, 20210825, 00:33:21.64645, 747.0344
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.094635, -0.6407166, 98.59477, 20210825, 00:33:21.66080, 747.0483
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.109436, -0.5016174, 99.76432, 20210825, 00:33:21.67464, 747.0621
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.196655, -0.2780762, 101.0189, 20210825, 00:33:21.68840, 747.0762
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.265564, -0.07717896, 102.2775, 20210825, 00:33:21.70236, 747.09
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.302338, 0.05381465, 103.5003, 20210825, 00:33:21.71657, 747.1041
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.398651, 0.1196439, 104.7519, 20210825, 00:33:21.73006, 747.1179
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.499817, 0.1702097, 106.102, 20210825, 00:33:21.74437, 747.1318
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.559998, 0.2239439, 107.6624, 20210825, 00:33:21.75807, 747.1456
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.665344, 0.2630044, 109.354, 20210825, 00:33:21.77183, 747.1597
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.802551, 0.3328592, 111.2497, 20210825, 00:33:21.78605, 747.1736
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.953064, 0.4323637, 113.317, 20210825, 00:33:21.80005, 747.1874
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.022766, 0.6037405, 115.4817, 20210825, 00:33:21.81388, 747.2015
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.075195, 0.8130524, 117.8167, 20210825, 00:33:21.82745, 747.2153
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.300354, 1.020353, 120.2077, 20210825, 00:33:21.84174, 747.2292
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.68338, 1.264664, 122.9295, 20210825, 00:33:21.85557, 747.2432
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.923523, 1.573897, 125.7864, 20210825, 00:33:21.86919, 747.2571
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.038849, 1.906956, 128.6949, 20210825, 00:33:21.88351, 747.2711
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.109955, 2.238737, 131.6693, 20210825, 00:33:21.89736, 747.2849
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.111633, 2.50284, 134.694, 20210825, 00:33:21.91113, 747.2989
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.079041, 2.678581, 137.6698, 20210825, 00:33:21.92522, 747.3127
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.118286, 2.731597, 140.6181, 20210825, 00:33:21.93914, 747.3267
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.279419, 2.753079, 143.4737, 20210825, 00:33:21.95300, 747.3406
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.429474, 2.74053, 146.2449, 20210825, 00:33:21.96667, 747.3546
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.604431, 2.704122, 148.8457, 20210825, 00:33:21.98120, 747.3686
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.811401, 2.642139, 151.224, 20210825, 00:33:21.99484, 747.3824
1, RaunerFirst, RaunerFirst, 90, 90, right, -5.168274, 2.534596, 153.2749, 20210825, 00:33:22.00836, 747.3962
1, RaunerFirst, RaunerFirst, 90, 90, right, -5.643738, 2.481432, 155.1676, 20210825, 00:33:22.02262, 747.4102
1, RaunerFirst, RaunerFirst, 90, 90, right, -6.20517, 2.415274, 156.82, 20210825, 00:33:22.03649, 747.4241
1, RaunerFirst, RaunerFirst, 90, 90, right, -6.703094, 2.344113, 158.279, 20210825, 00:33:22.05039, 747.4382
1, RaunerFirst, RaunerFirst, 90, 90, right, -7.211731, 2.27903, 159.5528, 20210825, 00:33:22.06440, 747.452
1, RaunerFirst, RaunerFirst, 90, 90, right, -7.821014, 2.260893, 160.5618, 20210825, 00:33:22.07829, 747.4658
1, RaunerFirst, RaunerFirst, 90, 90, right, -8.414215, 2.26564, 161.513, 20210825, 00:33:22.09209, 747.4799
1, RaunerFirst, RaunerFirst, 90, 90, right, -9.016632, 2.306504, 162.3311, 20210825, 00:33:22.10608, 747.4937
1, RaunerFirst, RaunerFirst, 90, 90, right, -9.64389, 2.378404, 162.9913, 20210825, 00:33:22.12161, 747.5091
1, RaunerFirst, RaunerFirst, 90, 90, right, -10.27429, 2.503363, 163.6463, 20210825, 00:33:22.13418, 747.5216
1, RaunerFirst, RaunerFirst, 90, 90, right, -10.87973, 2.605685, 164.1342, 20210825, 00:33:22.14766, 747.5355
1, RaunerFirst, RaunerFirst, 90, 90, right, -11.50284, 2.731507, 164.5484, 20210825, 00:33:22.16199, 747.5496
1, RaunerFirst, RaunerFirst, 90, 90, right, -12.21481, 2.904055, 164.9241, 20210825, 00:33:22.17576, 747.5633
1, RaunerFirst, RaunerFirst, 90, 90, right, -12.98337, 3.146131, 165.2119, 20210825, 00:33:22.18946, 747.5773
1, RaunerFirst, RaunerFirst, 90, 90, right, -13.53586, 3.465283, 165.4578, 20210825, 00:33:22.20376, 747.5912
1, RaunerFirst, RaunerFirst, 90, 90, right, -13.72839, 3.483477, 165.6644, 20210825, 00:33:22.21779, 747.6053
1, RaunerFirst, RaunerFirst, 90, 90, right, -13.91821, 3.720419, 165.8629, 20210825, 00:33:22.23129, 747.6191
1, RaunerFirst, RaunerFirst, 90, 90, right, -13.94281, 3.581277, 166.1142, 20210825, 00:33:22.24544, 747.6329
1, RaunerFirst, RaunerFirst, 90, 90, right, -14.08316, 3.572786, 166.4606, 20210825, 00:33:22.25998, 747.6475
1, RaunerFirst, RaunerFirst, 90, 90, right, -14.10147, 3.522908, 166.7254, 20210825, 00:33:22.27311, 747.6607
1, RaunerFirst, RaunerFirst, 90, 90, right, -13.92972, 3.574429, 166.8313, 20210825, 00:33:22.28694, 747.6747
1, RaunerFirst, RaunerFirst, 90, 90, right, -13.77097, 3.53109, 166.811, 20210825, 00:33:22.30110, 747.6887
1, RaunerFirst, RaunerFirst, 90, 90, right, -13.59357, 3.569571, 166.7118, 20210825, 00:33:22.31526, 747.7027
1, RaunerFirst, RaunerFirst, 90, 90, right, -13.39938, 3.634629, 166.6343, 20210825, 00:33:22.32888, 747.7166
1, RaunerFirst, RaunerFirst, 90, 90, right, -13.13904, 3.717756, 166.4883, 20210825, 00:33:22.34281, 747.7303
1, RaunerFirst, RaunerFirst, 90, 90, right, -12.88922, 3.839666, 166.2675, 20210825, 00:33:22.35687, 747.7444
1, RaunerFirst, RaunerFirst, 90, 90, right, -12.6434, 3.998201, 165.9855, 20210825, 00:33:22.37052, 747.7582
1, RaunerFirst, RaunerFirst, 90, 90, right, -12.41672, 4.135548, 165.6611, 20210825, 00:33:22.38468, 747.7723
1, RaunerFirst, RaunerFirst, 90, 90, right, -12.276, 4.096788, 165.1758, 20210825, 00:33:22.39855, 747.7861
1, RaunerFirst, RaunerFirst, 90, 90, right, -12.19089, 4.123392, 164.6689, 20210825, 00:33:22.41265, 747.8002
1, RaunerFirst, RaunerFirst, 90, 90, right, -12.14307, 4.122571, 164.2034, 20210825, 00:33:22.42619, 747.814
1, RaunerFirst, RaunerFirst, 90, 90, right, -12.08167, 4.202888, 163.7986, 20210825, 00:33:22.44054, 747.8281
1, RaunerFirst, RaunerFirst, 90, 90, right, -12.02689, 4.255639, 163.4169, 20210825, 00:33:22.45441, 747.8418
1, RaunerFirst, RaunerFirst, 90, 90, right, -11.98941, 4.322611, 163.03, 20210825, 00:33:22.46815, 747.8557
1, RaunerFirst, RaunerFirst, 90, 90, right, -11.9455, 4.395533, 162.6658, 20210825, 00:33:22.48225, 747.8698
1, RaunerFirst, RaunerFirst, 90, 90, right, -11.87802, 4.484985, 162.3477, 20210825, 00:33:22.49605, 747.8836
1, RaunerFirst, RaunerFirst, 90, 90, right, -11.85187, 4.560636, 162.1086, 20210825, 00:33:22.50952, 747.8974
1, RaunerFirst, RaunerFirst, 90, 90, right, -11.79559, 4.569322, 161.951, 20210825, 00:33:22.52411, 747.9115
