trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, neutral, 0, RaunerFirst, 90, 90, 0, open, open, -4.897095, 7.679038, 74.03421, 1.768494, 737.6581
2, neutral, 0, Hop2, 90, 90, 0, open, open, -5.621124, 7.336152, 80.32294, 1.141663, 745.8859
3, RaunerFirst, 0, RaunerFirst, -90, 90, 2, closed, closed, -5.273499, 4.725876, 64.86104, 1.489685, 750.9258
4, RaunerBackHall, 0, RaunerBackHall, -90, -90, 1, closed, closed, 0.9362465, 3.584601, -55.01984, 1.002502, 755.8405
5, Fairbanks, 0, Fairbanks, -90, 90, 2, open, open, -6.828796, 2.674512, 64.24004, 1.364502, 760.1285
6, Umplebys, 0, Umplebys, 90, -90, 2, closed, closed, 1.282083, -2.434631, -27.6683, 0.7658081, 762.4534
7, BakerBerryHistoric2, 0, BakerBerryHistoric2, -90, 90, 2, closed, closed, -5.627014, 1.493604, 60.79904, 0.7518921, 764.876
8, BakerBerryCharter, 0, BakerBerryCharter, -90, -90, 1, open, closed, -0.6308899, -2.548401, -5.075073, 0.7937622, 767.3404
9, PineEntrance, 0, PineEntrance, 90, 90, 1, closed, closed, -5.124512, 3.317288, 59.88147, 1.099854, 770.3892
10, neutral, 0, BakerBerryCharter, 90, 90, 0, closed, closed, -5.029419, 3.805261, 64.20853, 0.765625, 772.6446
11, RaunerFirst, 0, RaunerFirst, -90, -90, 1, closed, closed, -0.2332153, 2.108593, -26.85086, 1.002441, 774.9139
12, PineBackHall, 0, PineBackHall, 90, 90, 1, closed, closed, -4.638641, 5.530198, 52.75244, 0.9747925, 777.3643
13, BakerBerryCharter, 0, BakerBerryCharter, -90, 90, 2, open, open, -4.724243, 4.685443, 58.90689, 0.765625, 779.369
14, Hop2, 0, Hop2, -90, -90, 1, closed, closed, -1.733215, 1.494069, -20.09869, 0.7519531, 781.3739
15, MooreLot, 0, MooreLot, 90, 90, 1, open, open, -3.826752, 6.770633, 64.32415, 1.058105, 783.7825
16, Hop4, 0, Hop4, -90, 90, 2, open, open, -3.801727, 7.402227, 65.31915, 1.030334, 786.2328
17, RollinsChapel3, 0, RollinsChapel3, -90, 90, 2, open, open, -5.034729, 7.272576, 66.26638, 0.9885864, 788.4604
18, neutral, 0, Hop4, 90, 90, 0, closed, closed, -5.021973, 6.826941, 65.70508, 0.7522583, 790.4376
