trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, Umplebys, 0, Umplebys, 90, 90, 1, closed, open, -2.789673, -4.180054, 172.3832, 1.962952, 651.8965
2, Fairbanks, 0, Fairbanks, 90, 90, 1, closed, closed, -5.306458, -3.566284, 169.2856, 1.281067, 655.1824
3, PineBackHall, 0, PineBackHall, -90, 90, 2, open, closed, -3.875793, 1.854144, -30.30619, 6.334778, 663.5079
4, BakerBerry2nd, 0, BakerBerry2nd, -90, -90, 1, closed, closed, 4.629308, 0.3795214, -176.2012, 3.856628, 670.483
5, BakerBerryCharter, 0, BakerBerryCharter, 90, 90, 1, closed, closed, -3.020142, 1.990197, 175.9109, 3.369202, 687.3428
6, PineBackHall, 0, PineBackHall, -90, -90, 1, open, open, 5.729696, 1.186369, -185.9111, 2.812439, 692.2714
7, RollinsChapel3, 0, RollinsChapel3, 90, 90, 1, closed, closed, -1.68399, -0.2497559, 174.2953, 2.812622, 697.3112
8, 53Commons, 0, 53Commons, -90, 90, 2, closed, closed, -1.909119, -4.695129, -21.7908, 6.654846, 706.1937
9, Fairbanks, 0, Fairbanks, 90, 90, 1, closed, closed, -3.086243, -5.67038, 171.8882, 3.076782, 712.9877
10, Maynard, 0, Maynard, 90, 90, 1, closed, closed, -3.970917, -4.302246, 170.5726, 2.520264, 718.0696
11, Umplebys, 0, Umplebys, 90, 90, 1, closed, closed, -4.594818, -2.245819, 182.9979, 3.703308, 723.7218
12, AllenSt, 0, AllenSt, -90, -90, 1, open, open, 5.557285, -3.918823, -181.1348, 3.007263, 737.7694
13, Hop2, 0, Hop2, -90, 90, 2, closed, closed, -0.1856995, -7.302673, -31.71838, 7.852661, 747.6407
14, neutral, 0, 53Commons, 90, 90, 0, open, open, -2.35025, -4.215179, 170.5372, 5.55542, 756.0498
15, Hop4, 0, Hop4, 90, 90, 1, closed, closed, -4.501007, 0.8382005, 172.9442, 3.410889, 761.2842
16, Zimmerman, 0, Zimmerman, -90, 90, 2, closed, closed, -2.054291, -5.961548, -24.68661, 3.995911, 767.7165
17, BakerBerry2nd, 0, BakerBerry2nd, -90, 90, 2, closed, closed, -6.753723, 0.832196, -35.81672, 5.875488, 780.1072
18, McLaughlinCluster, 0, McLaughlinCluster, -90, 90, 2, closed, closed, -2.055359, -7.94162, -2.583939, 6.278931, 792.4841
19, RollinsChapel3, 0, RollinsChapel3, 90, 90, 1, closed, closed, 2.585958, -2.343231, 167.7167, 3.313843, 797.8164
20, neutral, 0, BakerBerryHistoric2, -90, -90, 0, closed, closed, 6.408096, -0.6576538, -171.9031, 4.733704, 804.5269
21, Hop4, 0, Hop4, 90, -90, 2, closed, closed, 5.247208, 1.913944, 24.9201, 4.552734, 811.4742
22, Zimmerman, 0, Zimmerman, -90, -90, 1, closed, closed, 7.663198, -3.328918, -175.1356, 4.301819, 818.0037
23, BakerBerryHistoric2, 0, BakerBerryHistoric2, 90, 90, 1, open, open, -2.670685, 2.038018, 165.5346, 4.343811, 824.2827
24, BakerBerryCharter, 0, BakerBerryCharter, 90, -90, 2, closed, closed, 6.324417, -4.536377, 25.96887, 8.910339, 835.1003
25, BakerBerryHistoric2, 0, BakerBerryHistoric2, 90, 90, 1, open, open, -1.982178, -2.362946, 171.6469, 3.536499, 840.9059
26, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, -6.044067, 1.588351, 171.2667, 2.631592, 845.6535
27, 53Commons, 0, 53Commons, -90, -90, 1, closed, closed, 6.289381, -6.496918, -168.9647, 3.160522, 851.1249
28, neutral, 0, Zimmerman, 90, 90, 0, open, open, -5.712952, -4.759766, 169.2793, 5.054016, 858.1837
29, Hop2, 0, Hop2, -90, -90, 1, closed, closed, 6.593038, -1.377747, -182.7446, 3.117798, 869.9756
30, McLaughlinCluster, 0, McLaughlinCluster, -90, -90, 1, closed, closed, 0.4433638, -12.53555, -158.1471, 3.41095, 876.6584
31, AllenSt, 0, AllenSt, -90, 90, 2, open, open, -3.46521, -6.775543, -30.54068, 7.170227, 885.722
32, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, 5.907431, 0.4311952, -182.8828, 4.928711, 893.6993
33, neutral, 0, PineBackHall, 90, 90, 0, closed, closed, -5.717621, -3.794312, 168.338, 4.789429, 901.7883
34, AllenSt, 0, AllenSt, -90, -90, 1, open, open, 4.738352, -4.305145, -177.427, 4.399597, 907.9837
35, Hop2, 0, Hop2, -90, -90, 1, closed, closed, 6.249248, -3.202362, -185.1702, 2.436462, 920.0821
36, Maynard, 0, Maynard, 90, -90, 2, closed, closed, 4.627079, -7.061584, 24.59793, 8.325684, 930.5099
37, MooreLot, 0, MooreLot, -90, -90, 1, closed, closed, 4.634581, -5.614563, -167.1346, 3.13269, 935.5916
38, 53Commons, 0, 53Commons, -90, -90, 1, closed, closed, 5.682212, -5.983643, -171.6516, 1.740417, 939.824
39, neutral, 0, RollinsChapel3, -90, -90, 0, open, open, 1.693594, -8.866913, -163.3895, 4.63623, 946.8408
40, BakerBerryCharter, 0, BakerBerryCharter, 90, 90, 1, closed, closed, -4.226685, -3.033661, 169.3954, 2.227844, 951.0733
41, neutral, 0, BakerBerry2nd, 90, 90, 0, open, open, -3.257874, -6.970184, 168.7327, 4.747559, 960.1644
42, MooreLot, 0, MooreLot, -90, -90, 1, closed, closed, 4.589008, -6.593292, -166.2633, 1.823914, 963.4222
43, neutral, 0, Umplebys, -90, -90, 0, open, open, 4.994454, -6.444824, -170.8855, 3.800842, 968.7962
44, neutral, 0, Maynard, -90, -90, 0, open, open, 6.583567, -5.418793, -176.3683, 5.917114, 977.0522
45, neutral, 0, McLaughlinCluster, 90, 90, 0, open, open, -5.17276, -1.434509, 174.0949, 7.57373, 987.3685
46, PineEntrance, 0, PineEntrance, 90, 90, 1, closed, closed, -5.412781, 1.212483, 167.4174, 1.447815, 990.9188
47, neutral, 0, Hop2, 90, 90, 0, open, open, -5.919922, -1.982269, 167.4653, 3.912292, 996.3347
48, Fairbanks, 0, Fairbanks, 90, -90, 2, closed, closed, 4.013679, -4.823242, 25.29263, 6.933289, 1005.05
49, RaunerBackHall, 0, RaunerBackHall, -90, -90, 1, closed, closed, 8.58024, 0.6403611, -177.3179, 1.628967, 1008.739
50, Umplebys, 0, Umplebys, 90, -90, 2, closed, closed, 4.04911, -6.257172, 21.43997, 8.924194, 1019.209
51, neutral, 0, AllenSt, 90, 90, 0, closed, closed, -1.503784, -5.866669, 181.4694, 2.199829, 1035.094
52, PineEntrance, 0, PineEntrance, 90, -90, 2, closed, closed, 6.25543, 4.44192, 30.63892, 6.418579, 1045.592
53, Hop4, 0, Hop4, 90, 90, 1, closed, closed, -4.286285, 5.683431, 183.2202, 1.893433, 1049.518
54, Maynard, 0, Maynard, 90, 90, 1, closed, closed, -5.91272, -2.840942, 171.9634, 1.225098, 1052.372
55, Zimmerman, 0, Zimmerman, -90, -90, 1, closed, closed, 8.542993, -4.14621, -177.1654, 2.046631, 1055.88
56, neutral, 0, RaunerBackHall, 90, 90, 0, open, open, -3.434967, -1.442993, 173.3656, 1.754517, 1059.277
57, BakerBerry2nd, 0, BakerBerry2nd, -90, -90, 1, closed, closed, 8.894987, -0.1801453, -180.9524, 1.476074, 1062.382
58, neutral, 0, Fairbanks, -90, -90, 0, open, open, 7.571577, -6.582306, -177.1685, 1.489746, 1065.487
59, BakerBerryHistoric2, 0, BakerBerryHistoric2, 90, -90, 2, open, open, 4.762673, 1.408092, 10.9744, 7.128296, 1074.327
60, PineEntrance, 0, PineEntrance, 90, 90, 1, closed, closed, -3.886963, 0.1374287, 167.2853, 1.19751, 1077.237
61, RaunerBackHall, 0, RaunerBackHall, -90, -90, 1, closed, open, 7.813283, 2.48053, -178.407, 1.490112, 1080.063
62, RollinsChapel3, 0, RollinsChapel3, 90, -90, 2, closed, closed, 7.284386, -6.902924, 19.20074, 6.459839, 1088.375
63, MooreLot, 0, MooreLot, -90, 90, 2, closed, closed, -3.708405, -6.815186, -27.96974, 5.972778, 1096.339
64, RaunerFirst, 0, RaunerFirst, 90, -90, 2, open, open, 5.929948, -3.980011, 20.9599, 8.200317, 1110.122
65, neutral, 0, PineEntrance, -90, -90, 0, open, open, 6.906251, -0.1469116, -179.4453, 5.165161, 1117.166
66, neutral, 0, BakerBerryCharter, -90, -90, 0, open, open, 9.923629, -0.6489868, -178.3684, 5.123413, 1124.837
67, McLaughlinCluster, 0, McLaughlinCluster, -90, -90, 1, closed, closed, -1.06897, -13.27542, -156.9375, 4.608398, 1131.632
68, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, -0.2623901, -2.889709, 167.7273, 2.171875, 1142.574
69, PineBackHall, 0, PineBackHall, -90, -90, 1, open, open, 7.962983, 1.587644, -184.5258, 2.77063, 1146.891
70, neutral, 0, Hop4, -90, -90, 0, open, open, 7.693659, -4.441681, -174.5156, 1.503784, 1149.842
71, neutral, 0, MooreLot, 90, 90, 0, open, open, -4.814789, -0.5774231, 159.3856, 1.407104, 1167.58
72, RaunerBackHall, 0, RaunerBackHall, -90, 90, 2, closed, closed, -4.496368, -1.704559, -30.77235, 1.48999, 1170.614
73, Maynard, 0, Maynard, -90, 90, 2, open, open, -3.644653, -3.678925, -31.77896, 5.49939, 1177.422
74, RollinsChapel3, 0, RollinsChapel3, -90, 90, 2, open, open, -5.447083, -5.002563, -28.87191, 5.722046, 1185.748
75, Hop4, 0, Hop4, -90, -90, 1, open, open, 7.681017, -3.382813, -170.4452, 1.810181, 1190.189
76, neutral, 0, RollinsChapel3, 90, 90, 0, closed, closed, -2.746704, 0.9658274, 167.6262, 1.921265, 1193.516
77, PineBackHall, 0, PineBackHall, 90, 90, 1, closed, closed, -5.38385, -1.924438, 161.1127, 1.281128, 1196.189
78, Umplebys, 0, Umplebys, -90, -90, 1, open, open, 10.49155, -3.427216, -167.6826, 5.764038, 1203.332
79, Fairbanks, 0, Fairbanks, -90, -90, 1, open, open, 10.49716, -5.736023, -175.9771, 1.573364, 1208.274
80, neutral, 0, BakerBerry2nd, -90, -90, 0, closed, closed, 7.105238, -2.769012, -181.8444, 2.478516, 1212.144
81, PineEntrance, 0, PineEntrance, -90, -90, 1, open, open, 10.38759, -3.167267, -176.0094, 1.68457, 1217.769
82, BakerBerry2nd, 0, BakerBerry2nd, 90, -90, 2, open, open, 6.763877, -6.215057, 18.72495, 7.322388, 1226.902
83, PineEntrance, 0, PineEntrance, -90, -90, 1, open, open, 8.868697, 1.162961, -173.8466, 1.517578, 1231.176
84, 53Commons, 0, 53Commons, 90, -90, 2, open, open, 11.06622, -10.06006, 27.33948, 6.766357, 1239.933
85, BakerBerryCharter, 0, BakerBerryCharter, -90, -90, 1, open, open, 8.602283, 0.3012576, -175.4968, 2.742798, 1245.809
86, neutral, 0, MooreLot, -90, -90, 0, closed, closed, 7.579599, -4.815399, -171.5258, 4.830933, 1252.157
87, McLaughlinCluster, 0, McLaughlinCluster, 90, 90, 1, open, open, -4.9599, -0.04492188, 169.067, 3.605591, 1257.67
88, neutral, 0, AllenSt, -90, -90, 0, open, open, 7.690351, -4.532257, -170.6921, 5.596802, 1265.133
89, RaunerFirst, 0, RaunerFirst, -90, -90, 1, closed, closed, 10.31103, 1.156133, -173.6515, 1.322754, 1268.46
90, McLaughlinCluster, 0, McLaughlinCluster, 90, -90, 2, open, open, 5.487414, -2.82608, 27.6355, 7.490356, 1277.51
91, Zimmerman, 0, Zimmerman, 90, 90, 1, open, open, -4.763245, -5.26062, 165.7137, 1.712402, 1280.906
92, PineBackHall, 0, PineBackHall, 90, -90, 2, closed, closed, 6.307865, 3.5368, 23.33008, 8.144531, 1290.443
93, neutral, 0, PineEntrance, 90, 90, 0, closed, closed, -6.031799, 1.080884, 167.454, 4.079224, 1298.769
94, RollinsChapel3, 0, RollinsChapel3, -90, -90, 1, open, open, 7.082098, -5.112091, -158.6554, 2.770874, 1303.475
95, RaunerFirst, 0, RaunerFirst, -90, -90, 1, closed, closed, 9.65043, -1.192902, -163.0314, 1.155518, 1306.161
96, Hop4, 0, Hop4, -90, -90, 1, open, open, 9.970254, -4.529083, -161.7213, 0.9609375, 1308.403
97, BakerBerryHistoric2, 0, BakerBerryHistoric2, -90, 90, 2, closed, closed, -7.202209, 4.572134, -30.80894, 5.554932, 1315.141
98, RaunerFirst, 0, RaunerFirst, -90, 90, 2, closed, closed, -1.736542, -0.9875488, -34.58468, 6.070068, 1324.219
99, McLaughlinCluster, 0, McLaughlinCluster, 90, 90, 1, open, open, -8.576721, 1.147764, 165.3067, 1.713379, 1327.965
100, neutral, 0, Hop2, -90, -90, 0, closed, closed, 8.895107, -0.5387268, -178.2776, 6.348877, 1336.22
101, Fairbanks, 0, Fairbanks, -90, 90, 2, open, open, -6.323425, -4.401672, -33.22906, 8.534546, 1346.996
102, neutral, 0, BakerBerryCharter, 90, 90, 0, closed, closed, -3.425964, -1.8461, 167.5541, 5.053833, 1353.637
103, AllenSt, 0, AllenSt, 90, -90, 2, closed, closed, 10.34204, -3.793579, 25.54364, 6.696655, 1362.672
104, Hop2, 0, Hop2, 90, 90, 1, open, closed, -0.8710632, -4.644836, 162.3782, 2.492188, 1367.225
105, Umplebys, 0, Umplebys, -90, 90, 2, open, closed, -3.926819, -7.614838, -24.9298, 11.02649, 1380.966
106, neutral, 0, RaunerBackHall, -90, -90, 0, closed, closed, 5.108323, 1.336423, -180.4642, 5.137329, 1387.941
107, MooreLot, 0, MooreLot, 90, -90, 2, open, open, 7.736396, -8.628021, 17.5459, 9.578491, 1407.572
108, neutral, 0, PineBackHall, -90, -90, 0, open, open, 9.924767, 1.998501, -179.5419, 4.469116, 1413.934
109, Maynard, 0, Maynard, -90, -90, 1, open, open, 9.255598, -3.063965, -176.0013, 1.2948, 1416.816
110, 53Commons, 0, 53Commons, 90, 90, 1, open, open, -6.207977, -0.3459167, 163.0283, 1.364502, 1419.601
111, MooreLot, 0, MooreLot, 90, 90, 1, open, open, -4.58551, -1.841949, 158.9404, 1.43396, 1422.232
112, Hop2, 0, Hop2, 90, 90, 1, open, open, -8.664093, -0.3018494, 160.9282, 1.378662, 1425.031
113, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, -6.362305, -1.115601, 159.8945, 1.266968, 1428.024
114, BakerBerry2nd, 0, BakerBerry2nd, 90, 90, 1, open, open, -5.307953, -0.1316223, 157.5849, 1.907349, 1431.24
115, 53Commons, 0, 53Commons, 90, 90, 1, open, open, -6.49762, 0.7388551, 162.3481, 1.586792, 1433.982
116, AllenSt, 0, AllenSt, 90, 90, 1, closed, closed, -6.120087, 2.381839, 162.7404, 1.448364, 1436.698
117, neutral, 0, 53Commons, -90, -90, 0, closed, closed, 7.821933, -4.420227, -169.3392, 2.171875, 1440.122
118, Zimmerman, 0, Zimmerman, 90, 90, 1, open, closed, -6.354675, -1.436737, 159.9417, 2.311401, 1444.09
119, neutral, 0, Umplebys, 90, 90, 0, closed, closed, -2.875854, -3.71814, 169.4912, 5.736084, 1452.388
120, AllenSt, 0, AllenSt, 90, 90, 1, closed, closed, -3.442841, -4.650177, 166.947, 1.475952, 1456.704
121, Hop2, 0, Hop2, 90, -90, 2, open, open, 8.964696, -2.333954, 22.06952, 2.213745, 1460.574
122, BakerBerry2nd, 0, BakerBerry2nd, 90, 90, 1, open, closed, -6.688354, -3.15799, 159.8636, 4.009644, 1467.479
123, Fairbanks, 0, Fairbanks, -90, -90, 1, open, open, 8.880726, -5.973724, -162.7345, 3.327393, 1472.478
124, RaunerBackHall, 0, RaunerBackHall, 90, -90, 2, open, closed, 9.898737, 2.243917, 20.3222, 8.395264, 1482.557
125, Umplebys, 0, Umplebys, -90, -90, 1, open, open, 10.67988, -1.728607, -162.3515, 2.283203, 1488.683
126, MooreLot, 0, MooreLot, 90, 90, 1, open, open, -4.772339, -0.671814, 163.801, 3.021118, 1493.542
