trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, neutral, 0, RaunerFirst, 90, 90, 0, open, open, 4.005805, 1.627306, 72.03462, 7.782532, 669.0522
2, neutral, 0, Hop2, 90, 90, 0, open, open, 0.5289297, -3.630981, 83.0564, 4.747559, 680.3293
3, RaunerFirst, 0, RaunerFirst, -90, 90, 2, closed, closed, 3.597117, -1.080902, 64.53259, 9.063477, 691.7596
4, RaunerBackHall, 0, RaunerBackHall, -90, -90, 1, closed, closed, 3.692088, -11.15851, -96.08966, 8.07489, 702.0203
5, Fairbanks, 0, Fairbanks, -90, 90, 2, open, closed, 3.025697, -7.847595, 70.23222, 9.133118, 714.3694
6, Umplebys, 0, Umplebys, 90, -90, 2, closed, open, 2.873441, -8.567505, -51.87686, 11.19354, 727.5538
7, BakerBerryHistoric2, 0, BakerBerryHistoric2, -90, 90, 2, closed, open, 2.326124, 0.4154811, 68.11765, 11.19342, 740.6964
8, BakerBerryCharter, 0, BakerBerryCharter, -90, -90, 1, open, closed, 4.763359, -0.34021, -89.0304, 11.22137, 753.3658
9, PineEntrance, 0, PineEntrance, 90, 90, 1, closed, open, 0.2247205, 0.3664074, 90.01041, 7.225952, 762.5408
10, neutral, 0, BakerBerryCharter, 90, 90, 0, closed, open, 1.952229, -4.719116, 69.34053, 14.96655, 779.2474
11, RaunerFirst, 0, RaunerFirst, -90, -90, 1, closed, open, 4.10906, -5.819916, -14.66989, 8.757141, 790.0928
12, PineBackHall, 0, PineBackHall, 90, 90, 1, closed, open, 1.941534, -1.116364, 99.54969, 14.34009, 806.0896
13, BakerBerryCharter, 0, BakerBerryCharter, -90, 90, 2, open, open, 2.019728, 0.564287, 70.11392, 10.45563, 818.2994
14, Hop2, 0, Hop2, -90, -90, 1, closed, open, 6.201956, 0.5335776, -87.673, 12.78082, 833.085
15, MooreLot, 0, MooreLot, 90, 90, 1, open, closed, 4.567, -9.160034, 76.72363, 14.32617, 848.9007
16, Hop4, 0, Hop4, -90, 90, 2, open, closed, 4.029158, -2.172638, 61.32668, 11.04034, 861.4865
17, RollinsChapel3, 0, RollinsChapel3, -90, 90, 2, open, closed, 2.043189, -7.745544, 70.87543, 6.404419, 869.9651
18, neutral, 0, Hop4, 90, 90, 0, closed, closed, 0.8588326, 1.755591, 73.36006, 8.130005, 879.9614
19, 53Commons, 0, 53Commons, 90, -90, 2, open, closed, 5.221665, -8.530304, -65.82025, 11.24933, 894.357
20, neutral, 0, Umplebys, -90, -90, 0, open, closed, 4.26448, -4.740509, -26.26129, 13.56042, 909.1425
21, PineBackHall, 0, PineBackHall, 90, 90, 1, closed, open, 4.629222, 1.087183, 10.90502, 23.3338, 933.7988
22, neutral, 0, BakerBerryHistoric2, 90, 90, 0, open, closed, 0.7529331, 8.834188, 94.80575, 11.51392, 946.8441
23, Zimmerman, 0, Zimmerman, 90, 90, 1, open, closed, 3.816826, -6.602081, 84.93539, 9.926636, 958.9149
24, Fairbanks, 0, Fairbanks, -90, -90, 1, open, closed, 4.275238, -7.256775, -55.94302, 12.00085, 972.6422
25, Zimmerman, 0, Zimmerman, 90, 90, 1, open, closed, -2.813263, -0.869873, 77.02554, 2.533936, 976.9998
26, Maynard, 0, Maynard, 90, -90, 2, closed, open, 5.318456, -6.8927, -55.40137, 20.34058, 999.1224
27, McLaughlinCluster, 0, McLaughlinCluster, 90, -90, 2, open, closed, 6.641507, -5.060425, -25.02017, 20.03424, 1020.883
