trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, 6.373113, 2.196213, -178.1345, 1.238892, 574.0719
2, Zimmerman, -100, Zimmerman, 170, 90, 2, closed, closed, -5.500793, 7.997406, 235.1371, 1.573059, 579.7941
3, neutral, 0, Hop4, -93, -90, 0, open, open, 3.412235, 3.943252, -167.0102, 1.016785, 582.9129
4, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, 1, open, closed, -7.099426, 12.98985, 339.2178, 1.57312, 586.3793
5, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, 1, open, closed, 4.322927, 5.04775, -262.4379, 0.7792969, 588.9827
6, PineBackHall, 180, PineBackHall, 90, 90, 2, open, closed, -3.122284, 14.58645, 156.6951, 1.434387, 592.2271
7, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, 1, open, open, -5.296173, 9.823869, 250.8502, 0.8635254, 594.6356
8, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, -3.829529, 11.28619, 160.4671, 0.9176636, 597.1831
9, Hop2, -1, Hop2, 269, 90, 2, closed, closed, -3.601166, 9.533055, 340.2386, 0.9467163, 600.3157
10, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, -90, 2, open, open, 5.382255, 11.65268, 193.4739, 0.8493042, 602.8497
11, neutral, 0, McLaughlinCluster, 262, 90, 0, open, open, -3.133514, 11.1579, 328.9175, 0.723877, 605.9541
12, Zimmerman, -100, Zimmerman, -190, -90, 1, closed, closed, 5.157939, 3.136912, -267.4203, 0.9472656, 608.6414
13, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 4.802225, 4.279806, -162.7386, 0.8077393, 610.7018
14, Hop4, -3, Hop4, 87, 90, 1, closed, closed, -6.275848, 10.06185, 149.6041, 0.9606323, 613.2215
15, neutral, 0, AllenSt, 90, 90, 0, closed, closed, -4.816864, 10.88224, 153.4981, 0.8214111, 615.658
16, 53Commons, 0, 53Commons, 90, -90, 2, open, open, 4.823525, 4.597803, 9.609436, 0.9053345, 617.9971
17, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, 1, open, open, -7.380341, 13.72203, 334.1919, 1.267029, 620.6283
18, Zimmerman, -100, Zimmerman, -190, -90, 1, closed, closed, 6.531271, -0.9287415, -262.6148, 0.7794189, 622.7166
19, Fairbanks, 0, Fairbanks, 270, 90, 2, open, closed, -5.641052, 7.009841, 334.532, 0.9750366, 624.9722
20, Maynard, 0, Maynard, 90, 90, 1, closed, closed, -5.754639, 9.014418, 154.4887, 0.8635254, 627.5059
21, RaunerFirst, 0, RaunerFirst, 90, -90, 2, open, open, 6.615302, 5.76893, 9.889038, 0.9607544, 629.6219
22, RollinsChapel3, 177, RollinsChapel3, 267, -90, 2, closed, closed, 8.168892, 1.630175, 189.1094, 1.420166, 632.1977
23, PineEntrance, 0, PineEntrance, 270, 90, 2, open, open, -6.368164, 8.383208, 332.7177, 1.099609, 634.4808
24, neutral, 0, Fairbanks, 90, 90, 0, closed, open, -6.739929, 4.961479, 156.7324, 1.795959, 638.6718
25, neutral, 0, Umplebys, -140, -90, 0, open, open, 4.137613, 2.497763, -217.0122, 1.016479, 640.9969
26, neutral, 0, BakerBerryHistoric2, 90, -90, 0, closed, closed, 3.031138, 14.11383, 15.74985, 1.266418, 644.9087
27, neutral, 0, PineEntrance, 90, 90, 0, closed, closed, -6.878754, 7.120479, 145.8658, 0.9329834, 647.4844
28, neutral, 0, Zimmerman, -10, 90, 0, open, open, -5.594299, 4.796896, 49.06007, 0.8772583, 649.7819
29, neutral, 0, MooreLot, 270, 90, 0, open, closed, -5.125549, 7.612703, 334.5217, 1.072327, 652.246
30, Maynard, 0, Maynard, 90, -90, 2, closed, open, 6.531692, 0.6512734, 10.7106, 0.8487549, 654.3199
31, PineBackHall, 180, PineBackHall, 90, -90, 1, open, open, 4.946672, 9.893523, 9.168152, 1.698792, 662.5901
32, Umplebys, -50, Umplebys, 40, 90, 1, closed, closed, -4.545135, 8.378016, 105.5595, 1.086243, 664.9988
33, Hop4, -3, Hop4, 87, -90, 2, closed, closed, 7.085902, 12.80034, 12.20581, 1.211609, 667.4909
34, neutral, 0, PineBackHall, 270, 90, 0, closed, closed, -4.402802, 13.74081, 341.3402, 1.030579, 669.8161
35, neutral, 0, Hop2, 89, 90, 0, open, open, -4.242462, 6.73802, 164.5721, 1.030334, 717.7707
36, Fairbanks, 0, Fairbanks, -90, -90, 1, open, open, 4.708927, 0.990389, -163.7029, 0.8908691, 720.1932
37, neutral, 0, RollinsChapel3, 87, -90, 0, open, open, 1.956292, 3.237767, 13.08499, 0.8770142, 722.4902
38, neutral, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -4.017212, 5.004459, 64.51218, 0.8492432, 724.4954
39, PineEntrance, 0, PineEntrance, -90, -90, 1, open, open, 4.207668, 3.383862, -172.8553, 0.9047241, 726.5417
40, AllenSt, 0, AllenSt, -90, -90, 1, open, open, 3.942473, 1.165581, -163.3316, 1.044312, 728.7416
41, 53Commons, 0, 53Commons, 90, 90, 1, open, open, -3.694733, 4.650198, 157.0691, 0.7659912, 730.8579
42, MooreLot, 180, MooreLot, 90, 90, 2, closed, closed, -3.885651, 3.759237, 153.9759, 0.793457, 732.8904
43, AllenSt, 0, AllenSt, -90, -90, 1, open, open, 4.818466, 1.595729, -164.7664, 0.8909912, 735.2432
44, neutral, 0, 53Commons, -90, -90, 0, closed, closed, 4.167067, 1.114923, -163.8494, 0.9051514, 737.3733
45, MooreLot, 180, MooreLot, 90, -90, 1, closed, closed, 4.051823, 1.30194, 17.18546, 0.7658081, 739.2949
46, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, closed, -3.376465, 8.182207, 335.4139, 0.848877, 741.341
47, neutral, 0, Maynard, -90, -90, 0, open, open, 3.754424, -0.4471741, -162.3941, 0.7937012, 743.4433
48, 53Commons, 0, 53Commons, 90, 90, 1, open, open, -4.569916, 4.983047, 158.5434, 0.7523804, 745.3929
49, Fairbanks, 0, Fairbanks, -90, -90, 1, open, open, 6.207372, -1.640442, -163.3189, 0.6825562, 747.4253
50, AllenSt, 0, AllenSt, 270, 90, 2, open, open, -5.825623, 4.643372, 339.9426, 1.058228, 749.625
51, McLaughlinCluster, 172, McLaughlinCluster, 82, 90, 2, closed, closed, -3.380219, 3.653972, 151.4732, 0.9190063, 754.0801
52, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, -5.013367, 8.270235, 164.3333, 0.9887695, 756.5305
53, BakerBerry2nd, 94, BakerBerry2nd, 184, -90, 2, open, open, 7.324896, 0.9199749, 101.3984, 1.211121, 758.9666
54, BakerBerryCharter, -90, BakerBerryCharter, 180, 90, 2, open, open, -4.257416, 9.676582, 249.2743, 1.113708, 762.6979
55, Umplebys, -50, Umplebys, 40, 90, 1, closed, closed, -0.9816284, 14.7462, 109.7838, 0.9890137, 764.8701
56, Maynard, 0, Maynard, 90, 90, 1, closed, closed, -5.972656, 8.373976, 154.6141, 0.8911133, 767.0001
57, RaunerBackHall, 0, RaunerBackHall, 90, -90, 2, open, open, 5.008388, 3.228768, 13.15311, 1.155518, 769.3109
58, PineBackHall, 180, PineBackHall, 90, -90, 1, open, open, 4.827495, 12.92839, 11.862, 1.698608, 772.1094
59, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, 1, closed, closed, 6.07321, -0.5979919, 18.21292, 1.239441, 774.4905
60, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, -5.36911, 7.60182, 152.7704, 1.016418, 776.5925
61, neutral, 0, BakerBerry2nd, 4, -90, 0, closed, closed, 5.803044, 6.845636, -69.85187, 0.9469604, 779.9619
62, MooreLot, 180, MooreLot, 90, -90, 1, closed, closed, 3.637404, 2.720292, 24.77023, 0.710144, 781.9804
63, Hop4, -3, Hop4, 87, 90, 1, closed, closed, -5.485931, 6.992875, 147.5862, 0.5571899, 786.032
64, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, 1, closed, closed, 4.709182, -0.5765381, 18.46799, 1.016235, 789.8325
65, Umplebys, -50, Umplebys, 40, -90, 2, closed, closed, 5.76499, 4.098045, -25.66592, 0.9608765, 792.1019
66, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, -7.272461, 6.439682, 147.6173, 0.8770142, 794.5105
67, PineEntrance, 0, PineEntrance, -90, -90, 1, open, open, 5.513977, 5.855136, -162.1921, 0.9326172, 796.9885
68, neutral, 0, RaunerBackHall, -90, -90, 0, closed, closed, 7.565139, 10.09512, -159.8279, 1.043884, 799.1742
69, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, 1, open, open, -6.848724, 4.397236, 244.1929, 0.7791748, 801.179
70, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, 1, open, closed, 6.956334, 3.32085, -247.2425, 0.7515869, 803.4068
71, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, closed, -1.913116, 10.48838, 333.8687, 0.8908691, 820.3224
72, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 6.06363, 5.496655, -154.5039, 0.751709, 822.4385
73, neutral, 0, BakerBerryHistoric2, 270, 90, 0, open, open, -3.210388, 11.99272, 339.7809, 0.9743652, 824.6382
74, RaunerBackHall, 0, RaunerBackHall, 270, 90, 2, closed, closed, -5.413666, 9.05891, 336.2074, 1.058289, 826.8242
75, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, 90, 2, closed, closed, -4.888824, 14.07761, 152.7707, 0.9465332, 829.1491
76, neutral, 0, Zimmerman, -190, -90, 0, closed, closed, 7.717259, 7.207917, -266.9094, 0.9050293, 831.1679
77, AllenSt, 0, AllenSt, 90, 90, 1, closed, closed, -4.895538, 14.37521, 159.1926, 0.9188843, 833.2842
78, PineEntrance, 0, PineEntrance, 90, -90, 2, closed, closed, 7.599607, 8.443213, 19.32782, 0.9046021, 835.3583
79, Hop4, -3, Hop4, -93, -90, 1, open, open, 4.814436, 5.977691, -164.958, 0.8771973, 837.8368
80, RollinsChapel3, 177, RollinsChapel3, 87, 90, 2, open, closed, -2.936279, 8.828147, 151.007, 0.6682129, 839.9669
81, Hop2, -1, Hop2, 89, 90, 1, open, open, -3.574341, 5.570361, 152.6652, 0.8769531, 843.1828
82, MooreLot, 180, MooreLot, 270, 90, 1, open, open, -2.537903, 6.407413, 337.3157, 0.9052124, 845.2154
83, 53Commons, 0, 53Commons, -90, -90, 1, closed, closed, 8.487597, 3.467341, -163.7401, 0.9190063, 847.3038
84, neutral, 0, MooreLot, 90, -90, 0, closed, closed, 7.186499, 2.224401, 21.4794, 0.8353882, 849.5035
85, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, 1, closed, closed, 6.88713, 2.173154, -68.04309, 0.7935181, 851.5779
86, Hop2, -1, Hop2, 89, -90, 2, open, closed, 5.967142, 0.4399981, 20.53363, 0.7514648, 853.6799
87, McLaughlinCluster, 172, McLaughlinCluster, 262, -90, 2, open, open, 9.630356, 1.741127, 188.2651, 1.099854, 856.1166
88, AllenSt, 0, AllenSt, 90, -90, 2, closed, closed, 7.433728, 5.695279, 18.39172, 1.169556, 858.3998
89, neutral, 0, Fairbanks, -90, -90, 0, open, open, 7.169943, 2.045972, -162.5416, 1.030029, 860.7803
90, neutral, 0, PineEntrance, -90, -90, 0, open, open, 6.599988, 7.642772, -167.6244, 1.127686, 863.1058
91, Umplebys, -50, Umplebys, -140, -90, 1, open, open, 6.087585, 4.366384, -211.9216, 0.8911743, 865.1943
92, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, 1, closed, closed, 6.057847, 5.602176, -66.77994, 0.8908691, 867.2404
93, neutral, 0, RaunerFirst, 90, 90, 0, open, open, -3.969818, 7.984649, 157.2434, 0.9608154, 869.3985
94, Maynard, 0, Maynard, -90, -90, 1, open, open, 7.788429, 2.789294, -163.1042, 0.8770142, 871.445
95, Umplebys, -50, Umplebys, -140, -90, 1, open, open, 6.034471, 4.391515, -211.6469, 0.8634644, 873.4082
96, RaunerBackHall, 0, RaunerBackHall, -90, -90, 1, closed, closed, 6.872895, 8.110918, -157.7505, 1.182861, 875.7468
97, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, 1, closed, open, 6.905077, 5.526004, 21.21246, 0.9185181, 877.8074
98, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, 1, open, open, -5.099426, 12.35931, 336.4049, 1.294739, 880.7452
99, neutral, 0, PineBackHall, 90, -90, 0, open, open, 7.066818, 10.9516, 9.962646, 1.252808, 883.1397
100, neutral, 0, RollinsChapel3, 267, 90, 0, closed, closed, -3.228912, 14.33863, 337.048, 1.072205, 885.2838
