trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, PineBackHall, 180, PineBackHall, 270, 90, 1, closed, closed, -2.286102, -3.391937, 337.7119, 3.63385, 574.5871
2, neutral, 0, RollinsChapel3, 267, 90, 0, closed, closed, 1.747844, 2.061011, 349.9638, 1.656921, 579.6968
3, 53Commons, -90, 53Commons, 0, -90, 0, open, open, 4.240872, -9.445587, -69.89505, 1.044312, 583.0797
4, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 4.435929, -1.436584, -168.7418, 1.030334, 585.3212
5, RaunerBackHall, 0, RaunerBackHall, -90, -90, 1, closed, closed, 3.930995, -1.775391, -170.1363, 1.573059, 588.0638
6, Hop4, -3, Hop4, -93, -90, 1, open, open, 4.227067, 0.2602377, -171.8235, 0.9746094, 590.6673
7, neutral, 0, Hop2, 89, 90, 0, open, open, -2.127197, 1.214664, 168.192, 1.002686, 593.2849
8, MooreLot, 180, MooreLot, 270, 90, 1, open, open, -0.03808594, 0.9428483, 347.2324, 1.044006, 595.4984
9, neutral, 0, Umplebys, -140, -90, 0, open, closed, 0.3049586, 2.493711, -216.4932, 1.489685, 599.313
10, 53Commons, -90, 53Commons, 0, 90, 1, open, open, 3.29087, -4.145264, 84.59254, 1.211548, 602.4039
11, Zimmerman, -100, Zimmerman, -10, 90, 1, open, open, 1.319783, -2.914215, 67.8953, 1.002136, 604.8123
12, Fairbanks, 0, Fairbanks, -90, -90, 1, open, open, 5.202003, 3.004091, -166.0223, 0.7936401, 607.1238
13, Hop4, -3, Hop4, 267, 90, 0, open, open, -2.893799, 1.164461, 347.1609, 1.475403, 610.0054
14, RaunerBackHall, 0, RaunerBackHall, 270, 90, 0, closed, closed, -0.315979, 1.44392, 352.1178, 1.322449, 612.8316
15, neutral, 0, BakerBerryHistoric2, 270, 90, 0, open, open, -1.927887, 3.028251, 353.4479, 1.364258, 615.7276
16, McLaughlinCluster, 172, McLaughlinCluster, 262, -90, 0, open, closed, 4.47018, 5.819271, 183.8479, 1.364502, 618.4286
17, neutral, 0, 53Commons, -180, -90, 0, closed, closed, 0.01854688, 9.752321, -258.9349, 2.728821, 622.4799
18, neutral, 0, Zimmerman, -190, -90, 0, closed, closed, 2.885851, 2.088304, -269.3497, 0.9467773, 630.5408
19, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, 1, open, closed, -1.083954, 4.762962, 346.3645, 1.39209, 633.0745
20, neutral, 0, Maynard, 90, 90, 0, closed, closed, -2.3284, 1.809281, 168.2591, 1.197327, 635.5668
21, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, -1.147644, 2.948919, 170.4931, 2.520081, 639.3537
22, neutral, 0, BakerBerryCharter, -180, -90, 0, open, open, 3.482265, 5.386234, -252.6143, 1.183655, 641.7902
23, neutral, 0, AllenSt, 90, 90, 0, closed, closed, -2.050354, 1.80466, 164.8223, 1.406067, 644.4074
24, Maynard, 0, Maynard, 270, 90, 0, open, open, -2.232971, 2.74258, 349.1426, 1.266907, 646.9134
25, neutral, 0, BakerBerry2nd, 4, -90, 0, closed, closed, 5.01169, 5.495479, -72.92599, 1.099854, 649.1966
26, Hop2, -1, Hop2, 269, 90, 0, closed, closed, -1.849243, 2.480224, 347.3251, 1.127808, 651.5357
27, BakerBerry2nd, 94, BakerBerry2nd, 184, -90, 0, open, open, 4.50939, 2.919157, 104.3954, 1.308716, 654.0835
28, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, -2.264038, -0.1543884, 170.4237, 1.058228, 656.3249
29, neutral, 0, PineEntrance, 90, 90, 0, closed, closed, -6.042542, 0.02583647, 167.1028, 1.253235, 658.9703
30, neutral, 0, Hop4, 87, 90, 0, closed, closed, -2.707001, 0.8439824, 168.5896, 0.9747314, 661.2256
31, Maynard, 0, Maynard, -90, -90, 1, open, open, 7.232601, 1.593318, -167.5025, 1.085632, 663.4808
32, Zimmerman, -100, Zimmerman, 350, -90, 0, open, open, 5.871422, -0.378418, 273.9673, 1.475708, 666.1261
33, Umplebys, -50, Umplebys, 40, -90, 0, closed, closed, 7.58885, -0.8132324, -38.57227, 2.589478, 669.913
34, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, 1, closed, closed, 3.571316, 3.221689, 16.23663, 2.074463, 674.9807
35, PineBackHall, 180, PineBackHall, 270, 90, 1, closed, closed, -3.623108, -1.031189, 348.3219, 0.8492432, 684.5176
36, Fairbanks, 0, Fairbanks, 270, 90, 0, open, open, 1.048791, 0.4549186, 350.3729, 1.071899, 686.8146
37, neutral, 0, PineBackHall, 90, -90, 0, open, closed, 5.047142, 2.866976, 5.936737, 1.238586, 689.237
38, PineEntrance, 0, PineEntrance, -90, -90, 1, open, open, 5.047405, 0.9154557, -169.934, 1.071777, 691.6597
39, neutral, 0, McLaughlinCluster, 82, -90, 0, closed, closed, 3.562887, -3.410645, 9.027802, 1.211304, 694.138
40, Fairbanks, 0, Fairbanks, -90, -90, 1, open, open, 6.173287, 1.171775, -165.2805, 1.225098, 696.6021
