trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, 6.330305, -8.610962, -139.5078, 1.573181, 578.4584
2, Zimmerman, -100, Zimmerman, 170, 90, 2, closed, open, -9.369415, 4.760005, 238.0146, 1.5177, 583.6794
3, neutral, 0, Hop4, -93, -90, 0, open, open, 7.782108, -5.248016, -158.277, 1.099976, 587.1461
4, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, 1, open, open, -9.621552, 1.061443, 342.4238, 0.7658081, 589.4432
5, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, 1, open, open, 8.738532, -6.669006, -251.5432, 0.668396, 591.7962
6, PineBackHall, 180, PineBackHall, 90, 90, 2, open, closed, -8.193207, -8.969208, 135.4168, 0.723877, 593.8705
7, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, 1, open, open, -8.318176, -3.018585, 249.5588, 1.086243, 598.2839
8, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, -9.360626, -2.50824, 156.5388, 0.9190674, 600.7761
9, Hop2, -1, Hop2, 269, 90, 2, closed, open, -9.294952, -6.030914, 322.1844, 0.9609985, 603.0453
10, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, -90, 2, open, open, 4.38555, -3.81897, 216.7913, 1.628601, 606.985
11, neutral, 0, McLaughlinCluster, 262, 90, 0, open, open, -9.970886, -7.331329, 300.7318, 1.183533, 611.4682
12, Zimmerman, -100, Zimmerman, -190, -90, 1, closed, closed, 10.83928, -6.636169, -257.9472, 1.197266, 614.1411
13, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 11.16577, -6.072876, -155.9518, 1.169617, 616.5778
14, Hop4, -3, Hop4, 87, 90, 1, closed, closed, -8.414795, -0.8593445, 145.7776, 1.600952, 620.5176
15, neutral, 0, AllenSt, 90, 90, 0, closed, closed, -8.734924, 0.7944809, 150.3691, 1.127808, 624.5412
16, 53Commons, 0, 53Commons, 90, -90, 2, open, open, 9.529797, -6.744995, 30.30847, 1.002686, 627.1727
17, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, 1, open, open, -10.93033, 7.503318, 340.2326, 1.336487, 630.1797
