trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, -2.568359, 11.34015, -177.8676, 1.375427, 723.7015
2, Zimmerman, -100, Zimmerman, 170, 90, 2, closed, closed, -0.4198303, 9.65432, 254.7546, 1.638855, 738.7571
3, neutral, 0, Hop4, -93, -90, 0, open, open, -1.687836, 13.83851, -179.6247, 1.403015, 749.2296
4, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, 1, open, open, -1.035614, 13.60136, 357.0175, 1.624268, 755.16
5, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, 1, open, open, -0.7512817, 13.18318, -266.1341, 1.402954, 761.077
6, PineBackHall, 180, PineBackHall, 90, 90, 2, open, closed, -4.741699, 14.59031, 168.4238, 1.694275, 766.6323
7, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, 1, open, open, -3.388519, 11.75822, 265.1375, 1.65271, 779.4103
8, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, -4.314545, 9.254209, 168.0852, 1.361267, 785.105
9, Hop2, -1, Hop2, 269, 90, 2, closed, closed, -4.189026, 12.54221, 346.7252, 1.41687, 792.6746
10, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, -90, 2, open, open, 0.342476, 18.01661, 186.5657, 2.000122, 800.8829
11, neutral, 0, McLaughlinCluster, 262, 90, 0, open, open, 1.128353, 14.31007, 348.5299, 1.569885, 808.5777
12, Zimmerman, -100, Zimmerman, -190, -90, 1, closed, open, 2.269025, 10.8795, -273.79, 2.833496, 815.9805
13, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 0.6135389, 12.10997, -168.4277, 1.09729, 822.1056
14, Hop4, -3, Hop4, 87, 90, 1, closed, closed, -4.76236, 12.75449, 161.3808, 1.834961, 827.1625
15, neutral, 0, AllenSt, 90, 90, 0, closed, closed, -2.003326, 8.551435, 163.2658, 1.54187, 834.7588
16, 53Commons, 0, 53Commons, 90, -90, 2, open, open, -0.7956848, 7.725982, 9.505249, 1.361145, 841.8558
17, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, 1, open, open, -1.229248, 20.05239, 349.0696, 2.19458, 851.356
18, Zimmerman, -100, Zimmerman, -190, -90, 1, closed, closed, 3.163689, 10.31955, -276.3982, 2.722168, 862.1617
19, Fairbanks, 0, Fairbanks, 270, 90, 2, open, open, 0.07198824, 8.311964, 355.576, 2.639099, 871.8842
20, Maynard, 0, Maynard, 90, 90, 1, closed, closed, -1.98819, 8.434748, 170.726, 2.000183, 878.7037
21, RaunerFirst, 0, RaunerFirst, 90, -90, 2, open, open, -0.09295654, 10.91089, 1.870392, 1.888855, 884.2314
22, RollinsChapel3, 177, RollinsChapel3, 267, -90, 2, closed, closed, 3.376199, 10.09005, 181.8273, 2.319641, 890.5512
23, PineEntrance, 0, PineEntrance, 270, 90, 2, open, open, -2.753601, 8.476874, 347.6738, 1.791565, 895.9815
24, neutral, 0, Fairbanks, 90, 90, 0, closed, closed, -3.179138, 9.29733, 173.6315, 1.583252, 901.8845
25, neutral, 0, Umplebys, -140, -90, 0, open, open, -2.164001, 12.84381, -225.1747, 2.041992, 907.9542
26, neutral, 0, BakerBerryHistoric2, 90, -90, 0, closed, closed, -1.07132, 16.34518, -0.3941956, 1.305908, 912.4681
27, neutral, 0, PineEntrance, 90, 90, 0, closed, closed, -2.904816, 11.42833, 177.4847, 1.347473, 918.3292
28, neutral, 0, Zimmerman, -10, 90, 0, open, open, -2.514404, 8.584194, 72.21595, 1.194092, 923.6762
29, neutral, 0, MooreLot, 270, 90, 0, open, open, -2.893036, 8.507784, 351.4759, 1.180542, 928.0793
30, Maynard, 0, Maynard, 90, -90, 2, closed, closed, -1.245911, 9.257899, 4.43399, 1.472229, 933.2044
