trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
2, Zimmerman, -100, Zimmerman, 170, 90, 2, closed, closed, -7.443146, -5.160919, 252.754, 1.350281, 866.1758
1, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, 4.672693, -7.633179, -175.3954, 1.78186, 858.7552
3, neutral, 0, Hop4, -93, -90, 0, open, open, 4.225197, -6.658539, -177.9356, 0.8775024, 872.7476
4, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, 1, open, closed, 0.524936, -4.685608, 286.0111, 0.5430908, 876.3672
5, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, 1, open, open, 7.524808, -4.290009, -266.6771, 1.462036, 883.217
6, PineBackHall, 180, PineBackHall, 90, 90, 2, open, closed, -3.334351, -2.643738, 174.2691, 1.308838, 886.8647
7, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, 1, open, open, -3.283752, -5.257477, 262.7022, 1.336914, 890.568
8, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, -3.728638, -6.706329, 176.2117, 1.406067, 893.3384
9, Hop2, -1, Hop2, 269, 90, 2, closed, closed, -2.223236, -7.950684, 350.9278, 1.197144, 897.0975
10, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, -90, 2, open, open, 5.89697, -4.345764, 181.9881, 1.253418, 899.9797
11, neutral, 0, McLaughlinCluster, 262, 90, 0, open, open, -1.211578, -5.169952, 339.2242, 0.8074951, 902.6943
12, Zimmerman, -100, Zimmerman, -190, -90, 1, closed, open, 8.719015, -6.314575, -279.1025, 1.211426, 906.7039
13, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 9.015044, -10.42914, -167.3635, 1.601257, 910.1704
14, Hop4, -3, Hop4, 87, 90, 1, closed, closed, -2.797974, -2.398315, 163.1465, 1.72644, 913.6511
15, neutral, 0, AllenSt, 90, 90, 0, closed, open, -2.634796, -0.6106262, 161.3789, 1.726624, 917.2153
16, 53Commons, 0, 53Commons, 90, -90, 2, open, open, -1.104614, -5.485809, 6.893494, 0.9469604, 921.2249
17, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, 1, open, open, -4.458862, -1.892151, 348.7843, 1.099792, 924.4825
18, Zimmerman, -100, Zimmerman, -190, -90, 1, closed, open, 5.318752, -4.504028, -276.1692, 0.9467163, 926.9749
19, Fairbanks, 0, Fairbanks, 270, 90, 2, open, open, -4.011993, -1.691986, 350.1418, 1.141724, 929.5226
20, Maynard, 0, Maynard, 90, 90, 1, closed, closed, -4.531158, 5.760234, 167.8784, 1.294861, 932.2375
21, RaunerFirst, 0, RaunerFirst, 90, -90, 2, open, open, 4.769771, -0.9837952, 7.525208, 0.9610596, 936.47
22, RollinsChapel3, 177, RollinsChapel3, 267, -90, 2, closed, open, 4.904373, -0.4295959, 185.7828, 0.8771973, 938.9062
23, PineEntrance, 0, PineEntrance, 270, 90, 2, open, open, -3.897491, -0.4898682, 350.0229, 0.9605713, 941.4955
24, neutral, 0, Fairbanks, 90, 90, 0, closed, open, -0.3562927, 4.130088, 167.9786, 1.071777, 943.9597
25, neutral, 0, Umplebys, -140, -90, 0, open, open, 2.583852, 2.630765, -223.5562, 0.8356323, 946.1458
26, neutral, 0, BakerBerryHistoric2, 90, -90, 0, closed, closed, 3.198418, 2.848457, 15.28741, 1.266785, 949.0554
27, neutral, 0, PineEntrance, 90, 90, 0, closed, closed, -4.885437, 14.51947, 173.7025, 1.058533, 951.3668
28, neutral, 0, Zimmerman, -10, 90, 0, open, open, -4.093475, 12.73648, 74.04323, 1.002563, 953.9144
29, neutral, 0, MooreLot, 270, 90, 0, open, open, -2.592834, 13.92578, 354.9756, 0.8215942, 956.0029
30, Maynard, 0, Maynard, 90, -90, 2, closed, open, 2.93145, 3.83183, -4.266663, 0.7379761, 958.3
31, PineBackHall, 180, PineBackHall, 90, -90, 1, open, open, 5.416463, 7.745964, -0.7369995, 1.099731, 961.697
32, Umplebys, -50, Umplebys, 40, 90, 1, closed, open, -0.2800903, 11.73661, 122.9245, 1.476074, 964.7042
33, Hop4, -3, Hop4, 87, -90, 2, closed, closed, 3.677096, 10.22785, -2.261047, 1.016846, 967.1687
34, neutral, 0, PineBackHall, 270, 90, 0, closed, closed, -3.675018, 13.27053, 351.8694, 0.8908081, 969.2704
36, Fairbanks, 0, Fairbanks, -90, -90, 1, open, open, 7.752526, -1.300385, -182.1943, 0.6543579, 987.2025
35, neutral, 0, Hop2, 89, 90, 0, open, open, -2.271698, 1.79764, 165.3501, 1.030457, 984.1537
37, neutral, 0, RollinsChapel3, 87, -90, 0, open, open, 1.232813, 0.7418329, 1.170471, 0.8353271, 990.0428
38, neutral, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -1.773315, 12.44039, 76.2302, 0.8772583, 993.3284
39, PineEntrance, 0, PineEntrance, -90, -90, 1, open, open, 5.055753, 3.880357, -177.5555, 0.8768311, 995.7648
40, AllenSt, 0, AllenSt, -90, -90, 1, open, open, 2.258826, 3.131647, -179.2383, 0.6682129, 997.9645
41, 53Commons, 0, 53Commons, 90, 90, 1, open, open, -4.038269, 11.49667, 166.2324, 0.9888306, 1000.693
42, MooreLot, 180, MooreLot, 90, 90, 2, closed, closed, -5.953735, 5.852129, 155.6416, 1.433838, 1004.619
43, AllenSt, 0, AllenSt, -90, -90, 1, open, open, 4.986625, -3.611145, -169.5916, 0.8216553, 1006.875
44, neutral, 0, 53Commons, -90, -90, 0, closed, open, 5.293965, -1.612671, -151.4717, 1.406372, 1010.188
45, MooreLot, 180, MooreLot, 90, -90, 1, closed, open, 2.618781, 1.758971, 5.93158, 0.8490601, 1012.43
46, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, open, -2.576447, 12.5288, 341.7686, 1.002625, 1016.871
47, neutral, 0, Maynard, -90, -90, 0, open, open, 7.435608, 2.238643, -170.9433, 0.7799683, 1019.099
48, 53Commons, 0, 53Commons, 90, 90, 1, open, open, -5.947266, 4.636875, 165.0308, 0.9747925, 1021.257
49, Fairbanks, 0, Fairbanks, -90, -90, 1, open, open, 9.403498, 1.532392, -173.4948, 0.8769531, 1023.317
50, AllenSt, 0, AllenSt, 270, 90, 2, open, open, -6.316498, 3.089273, 344.1536, 1.072388, 1025.823
51, McLaughlinCluster, 172, McLaughlinCluster, 82, 90, 2, closed, closed, -4.48114, -14.5835, 149.5292, 1.392212, 1028.496
52, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, -4.265167, 1.555636, 166.2511, 1.016479, 1030.835
53, BakerBerry2nd, 94, BakerBerry2nd, 184, -90, 2, open, open, 7.101166, -1.631348, 105.9216, 0.835083, 1032.923
54, BakerBerryCharter, -90, BakerBerryCharter, 180, 90, 2, open, closed, -5.505005, -0.2216492, 244.9247, 0.6407471, 1035.332
55, Umplebys, -50, Umplebys, 40, 90, 1, closed, closed, -4.583069, 5.971014, 113.8532, 1.099609, 1038.687
56, Maynard, 0, Maynard, 90, 90, 1, closed, open, -5.408325, 4.00201, 163.9411, 0.9606934, 1040.845
57, RaunerBackHall, 0, RaunerBackHall, 90, -90, 2, open, open, 5.364625, -8.529968, 12.86343, 0.9746094, 1043.936
58, PineBackHall, 180, PineBackHall, 90, -90, 1, open, open, 8.775075, -3.44104, 13.99585, 1.072021, 1046.177
59, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, 1, closed, closed, 7.262043, -6.412109, 38.95251, 1.392212, 1048.767
60, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, -6.2117, 1.367581, 160.9128, 1.07251, 1051.134
61, neutral, 0, BakerBerry2nd, 4, -90, 0, closed, closed, 8.839846, 3.350249, -79.15491, 0.9610596, 1053.25
62, MooreLot, 180, MooreLot, 90, -90, 1, closed, closed, 11.09111, 6.017632, 5.279388, 1.239258, 1055.812
63, Hop4, -3, Hop4, 87, 90, 1, closed, closed, -6.290405, 3.010828, 153.2395, 1.002441, 1057.956
64, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, 1, closed, closed, 9.726117, -0.8699646, 21.79224, 1.141602, 1060.239
65, Umplebys, -50, Umplebys, 40, -90, 2, closed, closed, 7.712605, 2.967684, -35.12497, 1.002686, 1062.745
66, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, -11.77396, 1.279922, 153.8865, 1.211182, 1065.195
67, PineEntrance, 0, PineEntrance, -90, -90, 1, open, open, 11.0063, -0.08856201, -176.4568, 0.8632813, 1069.915
