trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, 2.516876, 9.468346, -165.4667, 1.072083, 547.4505
2, Zimmerman, -100, Zimmerman, 170, 90, 2, closed, open, -2.213104, 6.550418, 238.269, 1.266785, 551.1956
3, neutral, 0, Hop4, -93, -90, 0, open, closed, 1.706198, 9.941266, -167.6646, 0.8771973, 554.7737
4, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, 1, open, open, -0.8937378, 10.7307, 355.4893, 0.710144, 558.1151
5, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, 1, open, open, 1.303977, 12.24548, -250.6755, 0.6959229, 563.4749
6, PineBackHall, 180, PineBackHall, 90, 90, 2, open, open, -1.732635, 12.94702, 160.0089, 2.450439, 567.9022
7, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, 1, open, open, -0.2359009, 8.949986, 257.4679, 0.8214722, 570.7842
8, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, 0.5981377, 8.622705, 157.8266, 0.8210449, 573.0398
9, Hop2, -1, Hop2, 269, 90, 2, closed, closed, -0.4493713, 9.516828, 335.7211, 1.141418, 575.4759
10, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, -90, 2, open, closed, -0.1615601, 14.17722, 209.2932, 1.113342, 578.3441
11, neutral, 0, McLaughlinCluster, 262, 90, 0, open, open, -1.161499, 6.941495, 345.4553, 0.9049683, 581.7271
12, Zimmerman, -100, Zimmerman, -190, -90, 1, closed, closed, 0.6694059, 7.643462, -262.2757, 1.225342, 584.7205
13, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 1.69139, 9.656396, -156.9612, 0.8217773, 589.2595
14, Hop4, -3, Hop4, 87, 90, 1, closed, closed, -0.7975464, 10.46545, 168.0552, 0.9471436, 592.5032
15, neutral, 0, AllenSt, 90, 90, 0, closed, closed, -0.2583618, 8.850958, 156.8357, 0.8493652, 595.7468
16, 53Commons, 0, 53Commons, 90, -90, 2, open, open, 0.3635992, 8.286025, 26.15363, 1.754272, 599.3807
17, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, 1, open, open, 0.5465673, 11.29185, 348.9548, 0.710144, 606.4948
18, Zimmerman, -100, Zimmerman, -190, -90, 1, closed, closed, 1.104053, 8.130145, -256.3621, 0.7660522, 610.2819
19, Fairbanks, 0, Fairbanks, 270, 90, 2, open, closed, -1.468262, 7.843439, 344.0084, 0.8772583, 613.6371
20, Maynard, 0, Maynard, 90, 90, 1, closed, closed, -0.8158875, 6.221338, 167.5139, 0.612793, 616.895
21, RaunerFirst, 0, RaunerFirst, 90, -90, 2, open, open, 0.0232405, 11.69839, 15.22202, 2.004822, 621.9347
22, RollinsChapel3, 177, RollinsChapel3, 267, -90, 2, closed, closed, 2.251154, 5.605312, 200.1099, 1.323059, 624.8589
23, PineEntrance, 0, PineEntrance, 270, 90, 2, open, open, -1.97998, 7.863698, 345.5816, 1.058044, 627.2253
24, neutral, 0, Fairbanks, 90, 90, 0, closed, closed, -1.98288, 5.739279, 157.7836, 0.9049072, 631.1373
25, neutral, 0, Umplebys, -140, -90, 0, open, open, 0.3783214, 7.476125, -213.0866, 0.8633423, 633.379
26, neutral, 0, BakerBerryHistoric2, 90, -90, 0, closed, open, 1.009338, 9.854772, 25.96329, 0.9472656, 635.6624
27, neutral, 0, PineEntrance, 90, 90, 0, closed, open, -1.841339, 8.106049, 164.4719, 1.016418, 638.0011
28, neutral, 0, Zimmerman, -10, 90, 0, open, closed, -2.253326, 7.400746, 61.64915, 0.9747314, 644.8093
29, neutral, 0, MooreLot, 270, 90, 0, open, open, -0.2558594, 7.384838, 342.3508, 0.9466553, 648.0809
30, Maynard, 0, Maynard, 90, -90, 2, closed, open, 2.87943, 9.607197, 17.22388, 0.75177, 650.7401
31, PineBackHall, 180, PineBackHall, 90, -90, 1, open, open, 1.03014, 11.19017, 20.51279, 0.9189453, 653.8587
32, Umplebys, -50, Umplebys, 40, 90, 1, closed, closed, -1.491577, 7.996999, 115.4216, 0.7799683, 659.4138
33, Hop4, -3, Hop4, 87, -90, 2, closed, closed, 0.5093257, 10.96953, 14.53076, 0.9883423, 662.3929
34, neutral, 0, PineBackHall, 270, 90, 0, closed, closed, -2.474426, 11.85271, 345.7275, 0.9747314, 666.6673
35, neutral, 0, Hop2, 89, 90, 0, open, closed, -2.780182, 9.790583, 165.2785, 0.9051514, 677.7076
36, Fairbanks, 0, Fairbanks, -90, -90, 1, open, open, 1.998261, 8.516146, -159.3127, 1.364685, 681.0211
37, neutral, 0, RollinsChapel3, 87, -90, 0, open, open, -0.9109192, 11.66213, 26.48935, 0.9190674, 684.8915
38, neutral, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -2.004852, 11.22519, 77.93795, 0.737915, 687.5645
39, PineEntrance, 0, PineEntrance, -90, -90, 1, open, open, 1.455568, 11.19988, -164.6237, 0.8773804, 690.1961
40, AllenSt, 0, AllenSt, -90, -90, 1, open, open, 1.258326, 8.096609, -162.4559, 0.8354492, 693.1055
41, 53Commons, 0, 53Commons, 90, 90, 1, open, open, -1.790222, 9.561953, 166.0923, 0.8217163, 697.5609
42, MooreLot, 180, MooreLot, 90, 90, 2, closed, closed, -2.68219, 9.219702, 159.0103, 1.225525, 700.8604
43, AllenSt, 0, AllenSt, -90, -90, 1, open, open, -0.3121643, 8.199383, -166.8443, 0.8909912, 703.6726
44, neutral, 0, 53Commons, -90, -90, 0, closed, closed, 1.258451, 7.523728, -159.1483, 1.099976, 708.2949
45, MooreLot, 180, MooreLot, 90, -90, 1, closed, closed, 0.0864534, 9.211394, 29.90094, 0.8492432, 711.3438
46, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, open, -0.8847656, 8.581923, 333.9916, 0.8354492, 714.3651
47, neutral, 0, Maynard, -90, -90, 0, open, open, 1.122993, 6.05895, -150.2016, 1.893738, 718.1658
48, 53Commons, 0, 53Commons, 90, 90, 1, open, open, -2.015991, 8.375146, 161.6253, 0.8632202, 720.3794
49, Fairbanks, 0, Fairbanks, -90, -90, 1, open, open, 2.779099, 7.28121, -157.7657, 0.9885864, 723.1219
50, AllenSt, 0, AllenSt, 270, 90, 2, open, open, -1.959717, 9.345947, 341.4329, 1.225159, 725.6142
51, McLaughlinCluster, 172, McLaughlinCluster, 82, 90, 2, closed, closed, -2.178406, 6.221717, 167.3416, 0.7798462, 728.7607
52, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, -2.216095, 7.101812, 168.6905, 0.7796631, 736.8913
53, BakerBerry2nd, 94, BakerBerry2nd, 184, -90, 2, open, closed, -1.671967, 9.482259, 115.4487, 1.085938, 739.7454
54, BakerBerryCharter, -90, BakerBerryCharter, 180, 90, 2, open, open, -1.399536, 13.84205, 265.2292, 1.76825, 742.85
