trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, 6.449539, 4.001621, -185.5139, 2.589233, 646.127
2, Zimmerman, -100, Zimmerman, 170, 90, 2, closed, open, -1.348969, 1.229906, 241.2105, 2.589417, 654.3688
3, neutral, 0, Hop4, -93, -90, 0, open, open, 5.350112, 3.875157, -185.1636, 1.267029, 657.6268
4, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, 1, open, open, 2.556862, 15.25478, 369.1773, 2.01886, 660.8848
5, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, 1, open, open, 4.103523, 10.58161, -278.4656, 1.419739, 663.5715
6, PineBackHall, 180, PineBackHall, 90, 90, 2, open, closed, 3.152698, 17.05087, 177.8498, 1.740234, 666.4258
7, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, 1, open, open, 0.2794668, 8.034985, 272.4219, 2.450317, 670.4495
8, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, 0.8700861, 7.608517, 186.0355, 1.795959, 673.4424
9, Hop2, -1, Hop2, 269, 90, 2, closed, closed, 1.204904, 10.96088, 389.6235, 1.545715, 676.1302
10, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, -90, 2, open, open, 3.319506, 11.68852, 183.4052, 1.643005, 679.1788
11, neutral, 0, McLaughlinCluster, 262, 90, 0, open, open, 1.53007, 7.621492, 346.0314, 0.8768311, 681.2527
12, Zimmerman, -100, Zimmerman, -190, -90, 1, closed, closed, 6.376297, -4.470734, -294.7226, 2.325073, 684.6918
13, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 4.754014, 8.334844, -186.4664, 1.698242, 687.9774
14, Hop4, -3, Hop4, 87, 90, 1, closed, closed, -2.005402, 12.33535, 184.4174, 1.531616, 692.9341
15, neutral, 0, AllenSt, 90, 90, 0, closed, open, -1.08606, 4.283233, 208.8986, 1.893738, 696.0803
16, 53Commons, 0, 53Commons, 90, -90, 2, open, open, 4.981524, 3.410805, -7.069916, 1.517334, 698.9898
17, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, 1, open, open, 1.062037, 18.92343, 371.4663, 1.837402, 702.0389
18, Zimmerman, -100, Zimmerman, -190, -90, 1, closed, open, 8.851156, -1.246704, -294.0355, 2.909912, 706.0765
19, Fairbanks, 0, Fairbanks, 270, 90, 2, open, open, -1.19696, 5.316039, 362.2883, 1.54541, 708.8886
20, Maynard, 0, Maynard, 90, 90, 1, closed, closed, -0.09533691, -1.56601, 163.6561, 3.452759, 713.5248
21, RaunerFirst, 0, RaunerFirst, 90, -90, 2, open, open, 3.681102, 15.19453, -14.29315, 2.186279, 716.9639
22, RollinsChapel3, 177, RollinsChapel3, 267, -90, 2, closed, open, 5.502574, -0.921875, 212.2486, 3.369019, 721.4884
23, PineEntrance, 0, PineEntrance, 270, 90, 2, open, open, -2.28183, 8.037072, 351.3889, 1.197449, 723.9109
24, neutral, 0, Fairbanks, 90, 90, 0, closed, closed, -1.75708, 1.935567, 166.3732, 2.394836, 727.4056
25, neutral, 0, Umplebys, -140, -90, 0, open, open, 1.703287, 5.12774, -229.7463, 1.462219, 730.0092
26, neutral, 0, BakerBerryHistoric2, 90, -90, 0, closed, closed, 2.993705, 17.77916, -11.80338, 1.893555, 733.0023
