trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, 8.827548, 23.85896, -180.0062, 2.18103, 665.9472
2, Zimmerman, -100, Zimmerman, 170, 90, 2, closed, closed, 20.64974, 16.43434, 224.0001, 2.374939, 675.1275
3, neutral, 0, Hop4, -93, -90, 0, open, open, 7.769237, 2.67717, -186.8662, 2.097229, 680.3082
4, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, 1, open, open, 15.37949, 14.52471, 340.6111, 2.375366, 687.0168
5, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, 1, open, open, 14.18382, 24.24699, -270.0956, 1.819519, 692.5723
6, PineBackHall, 180, PineBackHall, 90, 90, 2, open, closed, 7.200305, 2.289841, 148.4339, 1.416626, 701.1835
7, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, 1, open, open, 14.45786, 12.10953, 249.4878, 1.500061, 705.4891
8, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, 16.22077, 19.28324, 157.6971, 1.652771, 709.6006
9, Hop2, -1, Hop2, 269, 90, 2, closed, closed, 9.248747, 20.69352, 332.4659, 1.417053, 712.6006
10, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, -90, 2, open, open, 2.583386, 10.82114, 191.0267, 1.347534, 716.5173
11, neutral, 0, McLaughlinCluster, 262, 90, 0, open, open, 2.429816, 4.388912, 346.4479, 2.055542, 720.0864
12, Zimmerman, -100, Zimmerman, -190, -90, 1, closed, open, 2.183151, 1.932956, -277.5261, 1.75, 723.3228
13, Hop2, -1, Hop2, -91, -90, 1, closed, closed, -2.370758, 2.077789, -176.147, 1.194397, 726.7673
14, Hop4, -3, Hop4, 87, 90, 1, closed, closed, 4.867695, 20.97179, 163.063, 1.930725, 730.434
15, neutral, 0, AllenSt, 90, 90, 0, closed, closed, -1.031403, 13.1206, 179.6349, 1.569641, 733.5035
16, 53Commons, 0, 53Commons, 90, -90, 2, open, open, 3.443573, -5.42746, 7.844391, 1.194702, 737.0591
17, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, 1, open, open, -2.808197, 10.8161, 369.5027, 1.542114, 740.0457
18, Zimmerman, -100, Zimmerman, -190, -90, 1, closed, open, 1.989751, 2.069099, -270.036, 2.069885, 743.9622
19, Fairbanks, 0, Fairbanks, 270, 90, 2, open, open, -2.10968, 7.240325, 373.115, 1.625183, 747.7675
20, Maynard, 0, Maynard, 90, 90, 1, closed, closed, -5.788757, 5.766134, 186.8414, 1.736328, 751.2122
21, RaunerFirst, 0, RaunerFirst, 90, -90, 2, open, open, 2.43264, 6.430424, -0.5111389, 1.666809, 755.2399
