trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, -5.527924, 9.242911, -150.322, 1.306396, 527.3954
2, Zimmerman, -100, Zimmerman, 170, 90, 2, closed, open, -0.498291, 7.894139, 220.8285, 1.486328, 529.9363
3, neutral, 0, Hop4, -93, -90, 0, open, open, -2.879272, 5.791288, -156.2914, 0.722229, 531.686
4, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, 1, open, open, -1.914185, 11.28837, 324.2621, 1.20874, 533.9224
5, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, 1, open, open, -3.335052, 5.222572, -237.8503, 0.6947021, 535.4919
6, PineBackHall, 180, PineBackHall, 90, 90, 2, open, closed, -2.653687, 9.306778, 145.1898, 1.277954, 537.8529
7, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, 1, open, open, -0.7366638, 11.94592, 235.9923, 1.77771, 540.7416
8, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, -1.826691, 11.77766, 140.3225, 1.305847, 543.145
9, Hop2, -1, Hop2, 269, 90, 2, closed, closed, -7.913239, 1.837273, 285.3903, 3.124939, 547.4225
10, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, -90, 2, open, open, -3.947937, 15.04599, 205.9433, 1.722107, 550.478
11, neutral, 0, McLaughlinCluster, 262, 90, 0, open, open, -0.07312012, 7.818894, 310.329, 1.055542, 552.7143
12, Zimmerman, -100, Zimmerman, -190, -90, 1, closed, open, -1.468109, 7.883272, -253.9297, 0.9025879, 554.7141
13, Hop2, -1, Hop2, -91, -90, 1, closed, closed, -5.06131, 5.029751, -147.5373, 0.833252, 556.8255
14, Hop4, -3, Hop4, 87, 90, 1, closed, closed, 2.217443, 4.999812, 105.8522, 0.9585571, 558.7421
15, neutral, 0, AllenSt, 90, 90, 0, closed, closed, -0.7492065, 5.43564, 92.82604, 1.152893, 560.8533
16, 53Commons, 0, 53Commons, 90, -90, 2, open, open, -2.105072, 8.722505, 28.86716, 1.416382, 563.242
17, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, 1, open, open, 3.373337, 7.538907, 303.3931, 0.805481, 565.131
18, Zimmerman, -100, Zimmerman, -190, -90, 1, closed, open, -1.526093, 5.101596, -204.0802, 0.5831909, 566.7977
19, Fairbanks, 0, Fairbanks, 270, 90, 2, open, open, -1.210205, 4.79372, 258.8578, 0.6251221, 568.4645
20, Maynard, 0, Maynard, 90, 90, 1, closed, closed, -0.9268494, 4.961705, 79.24319, 0.8609619, 570.4921
21, RaunerFirst, 0, RaunerFirst, 90, -90, 2, open, open, 0.6711062, 8.739794, 24.95233, 1.694397, 573.2702
22, RollinsChapel3, 177, RollinsChapel3, 267, -90, 2, closed, open, 0.07234982, 2.341441, 256.455, 0.7219238, 575.1865
23, PineEntrance, 0, PineEntrance, 270, 90, 2, open, open, -0.3283081, 9.074606, 312.3859, 1.527771, 577.8256
24, neutral, 0, Fairbanks, 90, 90, 0, closed, open, -2.104828, 11.60977, 138.9932, 1.125244, 580.0064
25, neutral, 0, Umplebys, -140, -90, 0, open, open, -1.126648, 6.80033, -199.5894, 0.9862061, 581.8951
26, neutral, 0, BakerBerryHistoric2, 90, -90, 0, closed, closed, 2.583022, 3.562465, 64.21939, 1.291748, 584.2287
27, neutral, 0, PineEntrance, 90, 90, 0, closed, closed, -2.651947, 9.007975, 142.1782, 1.000122, 586.2982
28, neutral, 0, Zimmerman, -10, 90, 0, open, open, -1.149384, 8.085045, 30.33367, 0.847168, 588.0063
29, neutral, 0, MooreLot, 270, 90, 0, open, open, -0.5643311, 4.574281, 292.6597, 0.6802979, 589.7007
30, Maynard, 0, Maynard, 90, -90, 2, closed, open, -3.617432, 2.466019, 69.15317, 1.167053, 591.8817
31, PineBackHall, 180, PineBackHall, 90, -90, 1, open, closed, -0.98703, 2.394122, 74.26376, 0.9584351, 593.7426
32, Umplebys, -50, Umplebys, 40, 90, 1, closed, closed, -0.8811035, 3.7133, 48.64831, 1.166504, 595.8259
33, Hop4, -3, Hop4, 87, -90, 2, closed, closed, 3.724517, 4.457354, 73.97913, 1.389038, 598.5067
34, neutral, 0, PineBackHall, 270, 90, 0, closed, closed, 0.4039232, 6.556349, 306.3648, 0.9308472, 600.5067
35, neutral, 0, Hop2, 89, 90, 0, open, open, -1.426788, 9.643664, 131.0788, 1.028076, 608.1595
36, Fairbanks, 0, Fairbanks, -90, -90, 1, open, open, -3.287231, 2.630679, -108.7361, 0.6809692, 609.9235
37, neutral, 0, RollinsChapel3, 87, -90, 0, open, open, -2.972504, 2.57497, 79.69992, 0.5974731, 611.729
38, neutral, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -3.046204, 2.614053, -6.78656, 0.7221069, 613.3261
