trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, 0.1478773, 9.130569, -171.4042, 1.044189, 679.838
2, Zimmerman, -100, Zimmerman, 170, 90, 2, closed, open, -0.4486084, 5.361952, 247.7013, 1.253113, 686.3816
3, neutral, 0, Hop4, -93, -90, 0, open, open, 1.697335, 8.895819, -166.1918, 0.9602661, 694.2336
4, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, 1, open, open, 0.2702367, 12.85662, 351.2359, 1.099792, 697.0739
5, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, 1, open, closed, 0.9621394, 13.47356, -258.451, 1.448181, 699.8862
6, PineBackHall, 180, PineBackHall, 90, 90, 2, open, closed, 0.7343323, 9.077061, 161.3729, 1.294495, 704.0489
7, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, 1, open, open, 1.458857, 7.705537, 262.5599, 0.9329834, 706.4853
8, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, 1.368556, 7.92394, 172.2414, 0.9187012, 708.657
9, Hop2, -1, Hop2, 269, 90, 2, closed, closed, 1.286252, 9.075824, 350.5149, 0.9470825, 711.6507
10, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, -90, 2, open, closed, -0.7997131, 13.88929, 205.0775, 1.545654, 715.0476
11, neutral, 0, McLaughlinCluster, 262, 90, 0, open, open, -0.5262756, 9.684471, 344.6368, 1.824219, 718.4308
12, Zimmerman, -100, Zimmerman, -190, -90, 1, closed, closed, 1.556516, 13.09743, -271.6877, 1.25293, 721.1454
13, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 1.629247, 11.39085, -161.6609, 1.183105, 724.9462
14, Hop4, -3, Hop4, 87, 90, 1, closed, closed, 0.3329175, 8.794815, 168.1098, 0.7515259, 728.3988
15, neutral, 0, AllenSt, 90, 90, 0, closed, closed, 1.642659, 9.121272, 162.9924, 1.461548, 732.13
