trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, PineBackHall, 180, PineBackHall, 270, 90, 1, closed, closed, -5.247253, 5.929286, 335.7822, 1.22229, 676.8096
2, neutral, 0, RollinsChapel3, 267, 90, 0, closed, closed, -0.8344116, 11.17625, 335.7119, 1.624939, 683.1846
3, 53Commons, -90, 53Commons, 0, -90, 0, open, open, 0.8897204, 3.262724, -63.47751, 1.958252, 687.282
4, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 0.8082638, 4.452865, -154.5244, 1.444031, 698.0459
5, RaunerBackHall, 0, RaunerBackHall, -90, -90, 1, closed, closed, -0.8048401, 3.447445, -154.6666, 1.180359, 701.5182
6, Hop4, -3, Hop4, -93, -90, 1, open, open, -0.4520569, 3.327784, -155.4962, 1.013855, 704.3515
7, neutral, 0, Hop2, 89, 90, 0, open, open, -2.446228, 6.841986, 154.1872, 1.06958, 706.6019
8, MooreLot, 180, MooreLot, 270, 90, 1, open, open, 0.360248, 6.096619, 328.5513, 1.042053, 709.1297
9, neutral, 0, Umplebys, -140, -90, 0, open, open, -2.857086, 4.76035, -207.2967, 1.166626, 711.7267
10, 53Commons, -90, 53Commons, 0, 90, 1, open, open, 1.533457, 1.981076, 77.48012, 1.014038, 714.2268
11, Zimmerman, -100, Zimmerman, -10, 90, 1, open, open, 0.7949527, 3.966295, 53.92556, 1.138916, 716.6297
12, Fairbanks, 0, Fairbanks, -90, -90, 1, open, open, -0.1831665, 4.05579, -153.2147, 1.055664, 719.0742
13, Hop4, -3, Hop4, 267, 90, 0, open, open, -2.350342, 7.381907, 337.1434, 1.652649, 722.1852
14, RaunerBackHall, 0, RaunerBackHall, 270, 90, 0, closed, closed, -1.402313, 8.580722, 335.3366, 1.666626, 725.3798
15, neutral, 0, BakerBerryHistoric2, 270, 90, 0, open, open, -2.958893, 10.67209, 340.1896, 1.250061, 728.9076
16, McLaughlinCluster, 172, McLaughlinCluster, 262, -90, 0, open, open, 2.657291, 5.921047, 197.7216, 2.014099, 733.0605
17, neutral, 0, 53Commons, -180, -90, 0, closed, closed, -1.698517, 9.516521, -246.628, 1.597229, 736.1299
18, neutral, 0, Zimmerman, -190, -90, 0, closed, closed, -0.6069031, 5.425307, -261.4582, 1.458069, 739.1575
19, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, 1, open, open, -0.326355, 9.519693, 334.5746, 1.38916, 742.0328
20, neutral, 0, Maynard, 90, 90, 0, closed, closed, -2.619263, 6.884623, 157.1323, 1.388977, 745.8799
21, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, -2.330963, 6.122895, 155.6139, 1.083679, 751.7831
22, neutral, 0, BakerBerryCharter, -180, -90, 0, open, open, 0.2921207, 7.466244, -251.4814, 1.208374, 754.5328
23, neutral, 0, AllenSt, 90, 90, 0, closed, closed, -0.4592896, 6.24233, 157.039, 1.138794, 757.8525
24, Maynard, 0, Maynard, 270, 90, 0, open, open, -1.021484, 5.823593, 336.2606, 1.34729, 760.5609
25, neutral, 0, BakerBerry2nd, 4, -90, 0, closed, closed, -0.09875488, 5.282674, -70.67352, 1.097229, 763.4774
26, Hop2, -1, Hop2, 269, 90, 0, closed, open, -1.842804, 6.194452, 333.5264, 1.430664, 766.311
27, BakerBerry2nd, 94, BakerBerry2nd, 184, -90, 0, open, open, -0.5763245, 5.455672, 135.0362, 2.847229, 770.9775
28, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, -2.82193, 6.84939, 155.3991, 0.9720459, 777.2832
29, neutral, 0, PineEntrance, 90, 90, 0, closed, closed, -2.202728, 12.65732, 148.639, 2.180969, 781.4362
30, neutral, 0, Hop4, 87, 90, 0, closed, closed, -2.755554, 12.3493, 156.7284, 1.125061, 784.1305
31, Maynard, 0, Maynard, -90, -90, 1, open, open, 0.1019305, 6.081611, -155.7449, 1.111328, 787.0334
32, Zimmerman, -100, Zimmerman, 350, -90, 0, open, open, 0.1220284, 5.978654, 288.6952, 1.791992, 790.2835
33, Umplebys, -50, Umplebys, 40, -90, 0, closed, closed, 2.953716, 1.223357, -28.96478, 1.458618, 793.3948
34, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, 1, closed, closed, 1.116983, 6.508729, 36.23602, 1.763184, 801.4781
35, PineBackHall, 180, PineBackHall, 270, 90, 1, closed, closed, -1.743286, 10.26904, 325.9639, 1.055664, 857.326
36, Fairbanks, 0, Fairbanks, 270, 90, 0, open, open, 1.760885, 12.51919, 342.1293, 1.541626, 860.4651
37, neutral, 0, PineBackHall, 90, -90, 0, open, open, 1.569286, 5.956017, 16.35681, 1.319458, 863.2012
38, PineEntrance, 0, PineEntrance, -90, -90, 1, open, open, 0.2321802, 4.609616, -160.2248, 1.013916, 865.4094
39, neutral, 0, McLaughlinCluster, 82, -90, 0, closed, closed, -1.94165, 1.016096, 15.31903, 1.236267, 867.8402
40, Fairbanks, 0, Fairbanks, -90, -90, 1, open, open, 0.9670661, 3.336908, -157.1567, 1.097595, 870.1042
