trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, -11.09494, 8.049791, -168.0269, 1.805603, 558.0731
2, Zimmerman, -100, Zimmerman, 170, 90, 2, closed, open, -1.557281, 1.167016, 145.9962, 0.4445801, 562.2259
3, neutral, 0, Hop4, -93, -90, 0, open, open, -9.082733, 6.398858, -170.4755, 1.930481, 567.0733
4, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, 1, open, closed, 0.4624916, 3.987029, 293.6825, 0.6946411, 569.9764
5, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, 1, open, open, -11.63916, 8.750005, -261.8483, 2.611145, 575.7125
6, PineBackHall, 180, PineBackHall, 90, 90, 2, open, closed, 13.73073, 15.3812, 179.7915, 3.458374, 580.7264
7, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, 1, open, open, 9.248503, 7.62895, 265.0067, 2.972534, 585.3239
8, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, 13.09929, 9.40596, 176.3546, 1.791748, 589.2126
9, Hop2, -1, Hop2, 269, 90, 2, closed, closed, 12.75776, 11.10738, 355.8044, 1.638794, 592.2681
10, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, -90, 2, open, closed, -11.25845, 13.49289, 194.574, 2.014038, 596.0043
11, neutral, 0, McLaughlinCluster, 262, 90, 0, open, open, 16.55476, 10.44174, 339.7396, 1.597351, 599.5322
12, Zimmerman, -100, Zimmerman, -190, -90, 1, closed, open, -9.512054, 5.031494, -260.3241, 2.611206, 603.5046
13, Hop2, -1, Hop2, -91, -90, 1, closed, closed, -4.743896, 7.600197, -155.7234, 1.666931, 606.8518
14, Hop4, -3, Hop4, 87, 90, 1, closed, closed, 13.55855, 9.783276, 172.9245, 1.485962, 609.5461
15, neutral, 0, AllenSt, 90, 90, 0, closed, open, 3.239293, 9.102699, 161.2899, 1.84729, 612.6158
16, 53Commons, 0, 53Commons, 90, -90, 2, open, open, -8.157196, 8.670104, 16.49884, 1.666931, 615.7548
17, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, 1, open, open, 12.41168, 18.60855, 356.6709, 2.138672, 619.1991
18, Zimmerman, -100, Zimmerman, -190, -90, 1, closed, open, -6.576782, 7.157657, -259.0031, 1.736328, 622.1715
19, Fairbanks, 0, Fairbanks, 270, 90, 2, open, open, 8.033135, 8.348342, 342.0072, 1.43042, 625.2546
20, Maynard, 0, Maynard, 90, 90, 1, closed, closed, 8.274743, 10.97438, 167.7064, 1.472046, 628.0741
21, RaunerFirst, 0, RaunerFirst, 90, -90, 2, open, open, -6.332062, 9.292495, 20.89825, 2.069702, 631.8939
22, RollinsChapel3, 177, RollinsChapel3, 267, -90, 2, closed, open, -0.1323242, -0.7835388, 206.417, 2.458313, 635.6299
23, PineEntrance, 0, PineEntrance, 270, 90, 2, open, open, 8.353538, 8.401939, 343.4134, 1.958618, 639.5605
24, neutral, 0, Fairbanks, 90, 90, 0, closed, open, 0.1955792, 7.094671, 158.8253, 1.180603, 641.9079
25, neutral, 0, Umplebys, -140, -90, 0, open, open, -4.860657, 6.56184, -210.5513, 1.09729, 644.2829
26, neutral, 0, BakerBerryHistoric2, 90, -90, 0, closed, closed, -4.860504, 11.36121, 16.88809, 1.027771, 646.519
27, neutral, 0, PineEntrance, 90, 90, 0, closed, closed, 3.218445, 7.90056, 163.8263, 1.583374, 649.4633
28, neutral, 0, Zimmerman, -10, 90, 0, open, open, 2.674692, 6.688158, 68.0209, 1.554932, 652.3249
29, neutral, 0, MooreLot, 270, 90, 0, open, open, 2.482805, 9.221799, 343.9297, 2.777893, 656.7415
30, Maynard, 0, Maynard, 90, -90, 2, closed, closed, -6.251984, 7.264167, 16.80945, 1.319397, 659.2135
31, PineBackHall, 180, PineBackHall, 90, -90, 1, open, open, -2.443848, 12.96299, 16.22385, 1.944763, 662.3665
32, Umplebys, -50, Umplebys, 40, 90, 1, closed, closed, 5.435293, 10.75854, 114.8926, 1.222473, 665.3805
33, Hop4, -3, Hop4, 87, -90, 2, closed, closed, -5.275757, 14.44679, 12.16656, 1.291565, 668.1024
34, neutral, 0, PineBackHall, 270, 90, 0, closed, closed, 1.514817, 9.86109, 341.0372, 0.9306641, 670.5471
35, neutral, 0, Hop2, 89, 90, 0, open, closed, -2.314362, 7.695515, 117.6809, 2.429932, 682.4359
36, Fairbanks, 0, Fairbanks, -90, -90, 1, open, open, -1.495361, 3.899129, -146.4573, 1.111206, 687.6445
37, neutral, 0, RollinsChapel3, 87, -90, 0, open, closed, -3.3703, 2.541136, 33.03397, 1.763977, 690.7142
38, neutral, 0, BakerBerryCharter, 0, 90, 0, closed, closed, 8.883356, 18.11976, 80.93747, 1.791748, 698.1862
39, PineEntrance, 0, PineEntrance, -90, -90, 1, open, open, 9.147591, 1.304441, -160.0376, 1.610962, 701.6168
40, AllenSt, 0, AllenSt, -90, -90, 1, open, open, 4.610824, 1.437128, -153.363, 1.361206, 704.2141
41, 53Commons, 0, 53Commons, 90, 90, 1, open, open, 6.829713, 9.315677, 165.1804, 1.902954, 707.3117
42, MooreLot, 180, MooreLot, 90, 90, 2, closed, closed, 1.003269, 2.18883, 160.4555, 1.333435, 709.881
43, AllenSt, 0, AllenSt, -90, -90, 1, open, open, 7.965733, 0.07456712, -153.3443, 0.9860229, 712.6865
44, neutral, 0, 53Commons, -90, -90, 0, closed, open, 3.898276, 2.621453, -154.3657, 1.73645, 716.7979
45, MooreLot, 180, MooreLot, 90, -90, 1, closed, closed, 3.224796, 8.270391, 21.20093, 2.013733, 720.1034
46, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, open, 14.89124, 24.87599, 342.6692, 5.735779, 727.0202
47, neutral, 0, Maynard, -90, -90, 0, open, open, -0.4887085, 5.035933, -155.8287, 1.541992, 731.4786
48, 53Commons, 0, 53Commons, 90, 90, 1, open, open, 4.713389, 2.134099, 164.4895, 1.402893, 734.076
49, Fairbanks, 0, Fairbanks, -90, -90, 1, open, open, 3.126519, 5.187219, -146.6804, 2.124878, 737.5063
50, AllenSt, 0, AllenSt, 270, 90, 2, open, open, 3.878073, 9.104018, 334.1015, 1.639099, 740.4786
51, McLaughlinCluster, 172, McLaughlinCluster, 82, 90, 2, closed, closed, 4.808872, 4.793234, 142.9448, 1.833313, 743.562
52, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, -0.5906677, 4.022912, 151.8671, 2.041687, 747.2288
53, BakerBerry2nd, 94, BakerBerry2nd, 184, -90, 2, open, open, -6.208771, 11.73083, 111.8564, 2.332581, 750.826
54, BakerBerryCharter, -90, BakerBerryCharter, 180, 90, 2, open, open, 1.638505, 7.489704, 247.1868, 1.59729, 753.6038
55, Umplebys, -50, Umplebys, 40, 90, 1, closed, open, -0.9278564, 3.626277, 99.00935, 1.888977, 756.7705
56, Maynard, 0, Maynard, 90, 90, 1, closed, open, -3.439148, 3.569336, 150.0901, 0.9865723, 759.1875
57, RaunerBackHall, 0, RaunerBackHall, 90, -90, 2, open, closed, -2.740723, 9.2006, 22.6994, 1.361145, 762.4929
58, PineBackHall, 180, PineBackHall, 90, -90, 1, open, open, -8.811615, 20.05867, 13.31409, 2.055603, 766.0486
59, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, 1, closed, closed, -4.043549, 9.677846, 16.7019, 1.862854, 769.6473
60, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, -0.6628113, 8.626666, 149.6156, 1.291687, 772.2014
61, neutral, 0, BakerBerry2nd, 4, -90, 0, closed, closed, -1.257629, 10.95027, -54.93475, 1.736328, 775.4098
62, MooreLot, 180, MooreLot, 90, -90, 1, closed, closed, 1.421182, 4.890131, 43.6727, 1.819458, 778.4656
63, Hop4, -3, Hop4, 87, 90, 1, closed, closed, 0.3953055, 7.503567, 146.0596, 1.291748, 781.3682
64, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, 1, closed, closed, -4.070587, 7.939497, 22.49313, 1.444458, 784.2432
