trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, -1.348114, 0.2368442, -177.1249, 1.057861, 554.0761
2, Zimmerman, -100, Zimmerman, 170, 90, 2, closed, open, -5.448914, 2.523178, 236.2453, 1.225159, 559.4642
3, neutral, 0, Hop4, -93, -90, 0, open, open, 2.888192, -1.220367, -174.7574, 0.8632813, 562.8334
4, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, 1, open, open, -5.189301, 5.776146, 335.6385, 0.8914795, 565.5901
5, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, 1, open, open, 2.87733, -0.02392578, -262.8763, 0.9186401, 568.0399
6, PineBackHall, 180, PineBackHall, 90, 90, 2, open, closed, -6.596466, 8.560894, 157.7214, 1.183228, 570.9358
7, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, 1, open, open, -4.798035, 5.917903, 249.2224, 0.8632813, 573.5394
8, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, -2.156799, 5.443184, 155.1153, 0.8492432, 575.9064
9, Hop2, -1, Hop2, 269, 90, 2, closed, closed, -5.523438, 4.40868, 334.213, 1.016296, 578.468
10, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, -90, 2, open, open, 4.398401, 4.906998, 196.05, 1.22583, 581.5316
11, neutral, 0, McLaughlinCluster, 262, 90, 0, open, open, -3.002563, 4.399331, 326.5233, 1.225342, 583.9257
12, Zimmerman, -100, Zimmerman, -190, -90, 1, closed, open, 7.743036, 0.5544117, -274.2802, 1.002563, 586.1948
13, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 3.029022, -0.9385986, -173.5862, 0.8632202, 588.84
14, Hop4, -3, Hop4, 87, 90, 1, closed, closed, -4.933044, 1.206566, 149.184, 0.8074341, 591.4156
15, neutral, 0, AllenSt, 90, 90, 0, closed, closed, -5.031952, 1.84674, 150.5338, 1.127808, 594.0053
16, 53Commons, 0, 53Commons, 90, -90, 2, open, open, 3.495869, -0.6986694, 8.085388, 0.9466553, 596.5251
17, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, 1, open, open, -6.020264, 9.147144, 336.9485, 0.821106, 598.6413
18, Zimmerman, -100, Zimmerman, -190, -90, 1, closed, open, 4.297702, -2.033417, -271.7399, 0.9332275, 600.9108
19, Fairbanks, 0, Fairbanks, 270, 90, 2, open, open, -4.073364, 3.379375, 333.4687, 1.239075, 603.4306
20, Maynard, 0, Maynard, 90, 90, 1, closed, open, -5.287231, 2.952036, 150.9389, 1.141785, 605.7697
21, RaunerFirst, 0, RaunerFirst, 90, -90, 2, open, open, 2.105895, -0.9309692, 12.45422, 1.058472, 608.067
22, RollinsChapel3, 177, RollinsChapel3, 267, -90, 2, closed, closed, 3.843368, -2.774597, 199.212, 1.267029, 610.4755
23, PineEntrance, 0, PineEntrance, 270, 90, 2, open, open, -3.347504, 4.109722, 329.8143, 0.9886475, 612.8563
24, neutral, 0, Fairbanks, 90, 90, 0, closed, closed, -5.545685, 2.502911, 151.6335, 1.072021, 615.0834
25, neutral, 0, Umplebys, -140, -90, 0, open, open, 1.641061, -0.4729309, -212.7334, 0.9606323, 617.1581
26, neutral, 0, BakerBerryHistoric2, 90, -90, 0, closed, closed, 2.155574, 0.1682681, 11.90421, 0.8635254, 619.5389
27, neutral, 0, PineEntrance, 90, 90, 0, closed, closed, -4.414185, 2.165814, 151.0163, 1.00238, 621.9894
28, neutral, 0, Zimmerman, -10, 90, 0, open, open, -4.985626, 0.5739889, 54.1425, 0.9188843, 624.1053
29, neutral, 0, MooreLot, 270, 90, 0, open, open, -4.593018, 1.104638, 331.8465, 0.9190674, 626.4305
30, Maynard, 0, Maynard, 90, -90, 2, closed, closed, 0.4385869, -1.753235, 14.58377, 0.9605713, 628.6716
31, PineBackHall, 180, PineBackHall, 90, -90, 1, open, closed, -1.248474, -0.9958496, 17.05478, 1.155762, 631.1639
32, Umplebys, -50, Umplebys, 40, 90, 1, closed, closed, -0.3900146, 0.9297469, 99.11828, 0.7102661, 633.0852
33, Hop4, -3, Hop4, 87, -90, 2, closed, closed, 1.918948, 1.526957, 12.29333, 1.058044, 635.4657
34, neutral, 0, PineBackHall, 270, 90, 0, closed, closed, -3.263153, 1.834731, 331.5187, 0.9047852, 638.0135
35, neutral, 0, Hop2, 89, 90, 0, open, open, -6.90155, -3.277435, 152.8857, 1.016541, 647.105
36, Fairbanks, 0, Fairbanks, -90, -90, 1, open, open, -0.7909241, -2.408783, -165.4649, 0.8909912, 652.5068
37, neutral, 0, RollinsChapel3, 87, -90, 0, open, open, -1.602203, -2.296783, 11.01184, 1.072266, 654.8876
38, neutral, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -0.6793213, 1.491543, 58.58357, 0.8212891, 657.0175
39, PineEntrance, 0, PineEntrance, -90, -90, 1, open, open, 0.7960492, -2.506378, -166.1169, 0.8353271, 659.0502
40, AllenSt, 0, AllenSt, -90, -90, 1, open, open, -1.641907, -2.814667, -170.2798, 0.7099609, 660.8879
41, 53Commons, 0, 53Commons, 90, 90, 1, open, open, -4.391083, 0.5633076, 147.1521, 1.100037, 663.1017
42, MooreLot, 180, MooreLot, 90, 90, 2, closed, closed, -4.517975, 0.7063292, 150.2498, 1.002686, 665.1902
43, AllenSt, 0, AllenSt, -90, -90, 1, open, open, -0.7724915, -1.457184, -165.5912, 0.737915, 667.0139
44, neutral, 0, 53Commons, -90, -90, 0, closed, closed, -0.5623779, -1.320831, -168.361, 0.9053345, 668.9908
45, MooreLot, 180, MooreLot, 90, -90, 1, closed, closed, -4.472107, -3.840759, 16.64612, 0.7515869, 670.8143
46, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, closed, -2.050262, 6.385146, 325.3661, 0.8353882, 672.736
47, neutral, 0, Maynard, -90, -90, 0, open, open, -0.05438232, -2.635315, -168.8794, 1.044495, 674.8381
48, 53Commons, 0, 53Commons, 90, 90, 1, open, open, -5.381897, 0.9889641, 146.0696, 0.9747314, 676.9407
49, Fairbanks, 0, Fairbanks, -90, -90, 1, open, open, -0.01034546, -3.893524, -165.3894, 0.8216553, 679.001
50, AllenSt, 0, AllenSt, 270, 90, 2, open, open, -7.721497, 1.111233, 330.0406, 1.03009, 681.1727
51, McLaughlinCluster, 172, McLaughlinCluster, 82, 90, 2, closed, closed, -7.045227, 0.2106873, 139.8037, 1.072388, 683.4842
52, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, -3.918671, 0.1922638, 147.6416, 0.9329834, 685.4889
53, BakerBerry2nd, 94, BakerBerry2nd, 184, -90, 2, open, open, 1.297462, -1.627716, 106.0504, 1.072266, 687.7443
54, BakerBerryCharter, -90, BakerBerryCharter, 180, 90, 2, open, open, -2.816711, 2.057974, 233.981, 0.9887085, 690.0413
