trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, -5.370209, 13.54932, -171.9814, 1.239014, 692.6364
2, Zimmerman, -100, Zimmerman, 170, 90, 2, closed, open, -0.6750488, 28.41833, 174.1648, 2.895996, 702.8416
3, neutral, 0, Hop4, -93, -90, 0, open, open, -7.119751, 19.89998, -170.2471, 2.464478, 708.9952
4, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, 1, open, open, -1.680664, 35.94645, 254.2133, 2.324951, 713.2417
5, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, 1, open, open, -12.60916, 29.36559, -257.5396, 2.492371, 718.0587
6, PineBackHall, 180, PineBackHall, 90, 90, 2, open, open, -0.8093872, 35.20121, 81.86411, 3.884583, 723.4884
7, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, 1, open, open, -0.0725708, 31.69188, 168.8522, 2.784363, 728.2914
8, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, -6.451904, 37.99765, 80.80539, 2.032776, 732.0925
9, Hop2, -1, Hop2, 269, 90, 2, closed, closed, -2.380829, 35.60529, 260.4535, 1.851746, 735.3779
10, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, -90, 2, open, open, -4.39801, 40.74484, 221.5383, 1.990723, 738.8723
11, neutral, 0, McLaughlinCluster, 262, 90, 0, open, open, -2.829102, 33.70806, 250.737, 2.088562, 742.5203
12, Zimmerman, -100, Zimmerman, -190, -90, 1, closed, open, -4.451447, 38.6547, -218.9531, 1.93512, 746.0979
13, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 0.3357936, 33.92435, -126.2988, 2.255493, 749.8294
14, Hop4, -3, Hop4, 87, 90, 1, closed, closed, -6.621918, 23.20818, 72.40497, 3.285522, 756.2195
15, neutral, 0, AllenSt, 90, 90, 0, closed, open, -5.391327, 21.70187, 69.36511, 3.341309, 762.7493
16, 53Commons, 0, 53Commons, 90, -90, 2, open, open, -3.904938, 32.06423, 34.97903, 2.18573, 766.5082
