trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, 1.414978, -0.2219543, -187.3963, 0.9468384, 724.3716
2, Zimmerman, -100, Zimmerman, 170, 90, 2, closed, closed, -11.44229, -4.707153, 257.0741, 1.768127, 734.6185
3, neutral, 0, Hop4, -93, -90, 0, open, open, 2.377018, 2.976484, -188.9379, 1.16925, 737.7649
4, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, 1, open, open, -11.7739, 14.4016, 362.0316, 1.43396, 742.0531
5, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, 1, open, open, 3.083186, 5.020244, -271.7015, 1.00238, 745.5474
6, PineBackHall, 180, PineBackHall, 90, 90, 2, open, open, -3.330017, -1.456146, 88.89996, 0.5571289, 749.4598
7, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, 1, open, open, -12.54803, -1.385223, 264.3889, 1.32312, 760.1662
8, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, -14.32071, -1.624298, 177.7953, 1.308838, 764.4959
9, Hop2, -1, Hop2, 269, 90, 2, closed, closed, -11.91489, -0.7725525, 350.8019, 1.378662, 767.6424
10, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, -90, 2, open, open, 4.123346, 15.13754, 187.3008, 1.392456, 771.0811
11, neutral, 0, McLaughlinCluster, 262, 90, 0, open, open, -6.234589, 2.410638, 356.8547, 1.364319, 776.2043
12, Zimmerman, -100, Zimmerman, -190, -90, 1, closed, closed, 3.70374, -9.364044, -285.695, 1.378418, 779.6573
13, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 6.024675, 3.709375, -181.36, 1.155457, 782.4276
14, Hop4, -3, Hop4, 87, 90, 1, closed, open, -12.65594, -4.817719, 174.8822, 1.656555, 786.1866
15, neutral, 0, AllenSt, 90, 90, 0, closed, closed, -9.334778, 3.390309, 171.3308, 1.684814, 793.8998
16, 53Commons, 0, 53Commons, 90, -90, 2, open, open, 7.31067, 1.225857, 1.216278, 1.322815, 797.2552
17, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, 1, open, open, -14.21442, 12.58186, 355.3601, 1.252808, 800.1509
18, Zimmerman, -100, Zimmerman, -190, -90, 1, closed, closed, 7.248615, -2.501678, -275.1448, 0.9331665, 804.3416
19, Fairbanks, 0, Fairbanks, 270, 90, 2, open, open, -9.975647, -4.233795, 354.2694, 1.684692, 807.85
