trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, -0.3586731, 3.228147, -176.3934, 2.686829, 666.795
2, Zimmerman, -100, Zimmerman, 170, 90, 2, closed, open, -8.41272, 1.649292, 252.3009, 1.461609, 674.1737
3, neutral, 0, Hop4, -93, -90, 0, open, open, -0.7877197, 1.048789, -175.6743, 1.211487, 677.78
4, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, 1, open, open, -7.126648, 6.987877, 354.526, 1.280579, 681.3157
5, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, 1, open, open, -0.9630127, 1.298937, -267.8717, 1.211487, 684.8662
6, PineBackHall, 180, PineBackHall, 90, 90, 2, open, open, -4.597687, 10.41251, 174.1375, 1.642883, 690.087
7, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, 1, open, open, -4.146973, 6.988858, 271.5663, 1.127747, 692.8994
8, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, -4.069153, 9.340018, 181.3864, 0.9883423, 695.8925
9, Hop2, -1, Hop2, 269, 90, 2, closed, closed, -3.429993, 7.791557, 359.0329, 1.044006, 698.9554
10, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, -90, 2, open, open, -0.05776978, 4.70245, 187.6066, 1.072388, 701.6566
11, neutral, 0, McLaughlinCluster, 262, 90, 0, open, open, -3.476379, 6.99164, 348.9973, 0.9744873, 704.3293
12, Zimmerman, -100, Zimmerman, -190, -90, 1, closed, open, -0.4504089, 1.636023, -273.5878, 1.002686, 706.8916
13, Hop2, -1, Hop2, -91, -90, 1, closed, closed, -1.786438, 2.827493, -180.961, 1.030457, 709.801
14, Hop4, -3, Hop4, 87, 90, 1, closed, closed, -4.923523, 7.826802, 177.3461, 1.057983, 712.2234
15, neutral, 0, AllenSt, 90, 90, 0, closed, open, -0.8604126, 2.499597, 171.6822, 1.016235, 715.2028
16, 53Commons, 0, 53Commons, 90, -90, 2, open, open, -0.8294983, -0.377594, 0.05609131, 0.9049683, 717.5696
17, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, 1, open, open, -4.365173, 9.245063, 357.2043, 1.141907, 720.1035
18, Zimmerman, -100, Zimmerman, -190, -90, 1, closed, open, 1.091384, 0.6107928, -279.646, 0.8349609, 722.2336
19, Fairbanks, 0, Fairbanks, 270, 90, 2, open, open, -7.369781, 3.761129, 358.4276, 0.9326782, 724.4471
20, Maynard, 0, Maynard, 90, 90, 1, closed, open, -5.598877, 6.7756, 172.2548, 0.9328003, 726.7024
21, RaunerFirst, 0, RaunerFirst, 90, -90, 2, open, open, -0.9129639, 1.522588, 5.756958, 1.224915, 729.3339
22, RollinsChapel3, 177, RollinsChapel3, 267, -90, 2, closed, open, 0.9023903, -3.152557, 186.1845, 1.072144, 731.6869
23, PineEntrance, 0, PineEntrance, 270, 90, 2, open, open, -5.619904, 4.200371, 355.7999, 1.016235, 734.0396
24, neutral, 0, Fairbanks, 90, 90, 0, closed, open, -6.08786, 1.537981, 176.275, 0.9880981, 736.2809
25, neutral, 0, Umplebys, -140, -90, 0, open, open, -1.637146, 1.428865, -222.3102, 0.8773193, 738.5786
26, neutral, 0, BakerBerryHistoric2, 90, -90, 0, closed, closed, -0.7755127, 2.533283, 5.542969, 1.002747, 740.8898
27, neutral, 0, PineEntrance, 90, 90, 0, closed, closed, -6.236633, 6.788948, 175.6093, 1.030273, 743.2145
28, neutral, 0, Zimmerman, -10, 90, 0, open, open, -9.205811, 5.593492, 74.27647, 0.9885254, 745.5256
29, neutral, 0, MooreLot, 270, 90, 0, open, open, -5.292633, 3.649679, 353.0775, 0.9606323, 747.8507
30, Maynard, 0, Maynard, 90, -90, 2, closed, open, -0.651062, -1.702484, 6.605164, 0.9468384, 749.967
31, PineBackHall, 180, PineBackHall, 90, -90, 1, open, closed, 0.6243019, 2.269899, 8.201355, 1.197327, 752.5284
32, Umplebys, -50, Umplebys, 40, 90, 1, closed, closed, -7.230377, 4.546814, 129.5348, 1.266907, 755.0903
33, Hop4, -3, Hop4, 87, -90, 2, closed, closed, -0.4466248, 1.897437, 8.741272, 1.239197, 757.499
34, neutral, 0, PineBackHall, 270, 90, 0, closed, closed, -7.412872, 6.258378, 353.7938, 1.044312, 759.7683
35, neutral, 0, Hop2, 89, 90, 0, open, open, -8.616425, 3.46876, 176.7976, 1.086182, 771.073
36, Fairbanks, 0, Fairbanks, -90, -90, 1, open, open, 1.452884, -0.9736938, -178.9147, 0.8630981, 773.2867
37, neutral, 0, RollinsChapel3, 87, -90, 0, open, open, -0.09054565, 0.9832252, 0.545929, 0.8634644, 775.5004
38, neutral, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -7.993134, 4.444429, 87.86897, 0.9188843, 777.6862
39, PineEntrance, 0, PineEntrance, -90, -90, 1, open, open, 0.007115034, -1.523071, -175.0455, 0.8911743, 779.8024
40, AllenSt, 0, AllenSt, -90, -90, 1, open, open, 0.8270246, -1.825989, -174.0319, 0.8917847, 781.8773
41, 53Commons, 0, 53Commons, 90, 90, 1, open, open, -8.144073, 2.919187, 180.8598, 0.9328003, 784.0208
42, MooreLot, 180, MooreLot, 90, 90, 2, closed, closed, -9.818573, 0.3303615, 176.3897, 0.9606323, 786.1927
43, AllenSt, 0, AllenSt, -90, -90, 1, open, open, -0.5868835, -1.337952, -172.6019, 0.8910522, 788.2811
44, neutral, 0, 53Commons, -90, -90, 0, closed, open, 2.590389, -0.5805054, -170.5517, 1.183472, 790.7036
45, MooreLot, 180, MooreLot, 90, -90, 1, closed, closed, -3.194092, -4.52951, 6.394958, 0.9053345, 792.7782
46, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, open, -3.770905, 5.225166, 351.4494, 1.684937, 795.66
47, neutral, 0, Maynard, -90, -90, 0, open, open, 0.5465039, -0.9031372, -175.2984, 0.9050293, 797.7483
48, 53Commons, 0, 53Commons, 90, 90, 1, open, open, -6.816254, 4.404935, 178.0381, 1.183105, 800.1008
49, Fairbanks, 0, Fairbanks, -90, -90, 1, open, open, 1.063014, -2.213409, -175.4187, 0.8634033, 802.0502
50, AllenSt, 0, AllenSt, 270, 90, 2, open, open, -6.475739, 1.126517, 357.2757, 0.9328003, 804.1385
51, McLaughlinCluster, 172, McLaughlinCluster, 82, 90, 2, closed, closed, -8.83194, 0.01200534, 181.1633, 1.125732, 806.4215
52, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, -9.29834, 3.163995, 182.7638, 1.308899, 808.886
53, BakerBerry2nd, 94, BakerBerry2nd, 184, -90, 2, open, open, -0.8352356, 0.7563006, 94.48904, 0.9749146, 811.1694
54, BakerBerryCharter, -90, BakerBerryCharter, 180, 90, 2, open, open, -7.570251, 5.902902, 269.4139, 1.23877, 813.5637
55, Umplebys, -50, Umplebys, 40, 90, 1, closed, closed, -9.383087, 5.529513, 136.1434, 1.169189, 815.8469
56, Maynard, 0, Maynard, 90, 90, 1, closed, closed, -9.994904, 1.412529, 181.6703, 1.016602, 817.9775
57, RaunerBackHall, 0, RaunerBackHall, 90, -90, 2, open, open, -0.495636, -0.1580811, 2.333313, 1.169556, 820.4139
58, PineBackHall, 180, PineBackHall, 90, -90, 1, open, closed, 0.5355092, 1.327797, 5.664093, 1.378052, 823.0031
59, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, 1, closed, closed, -2.066833, -6.171265, 8.634216, 1.40625, 825.5231
60, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, -8.900177, 3.995364, 173.5717, 1.002441, 827.6394
61, neutral, 0, BakerBerry2nd, 4, -90, 0, closed, closed, 0.6220574, -0.5863037, -86.56241, 1.072205, 829.8392
62, MooreLot, 180, MooreLot, 90, -90, 1, closed, closed, 1.277125, -3.450287, 4.100006, 1.030334, 831.9972
63, Hop4, -3, Hop4, 87, 90, 1, closed, closed, -7.827148, 6.216049, 167.0672, 0.9604492, 834.1409
64, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, 1, closed, closed, 0.1247791, -4.36438, 7.362427, 1.197205, 836.5636
65, Umplebys, -50, Umplebys, 40, -90, 2, closed, closed, 2.010082, -1.027466, -41.20392, 1.127686, 838.8188
66, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, -7.705505, 6.462977, 171.7648, 1.072388, 841.0467
67, PineEntrance, 0, PineEntrance, -90, -90, 1, open, open, 1.578658, 3.015398, -173.9212, 0.9050293, 843.1069
68, neutral, 0, RaunerBackHall, -90, -90, 0, closed, closed, -0.8760071, 4.829869, -194.3777, 1.406128, 845.6548
69, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, 1, open, open, -9.764557, 7.530764, 269.087, 0.8771362, 847.7293
70, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, 1, open, open, 1.014509, 2.274053, -263.577, 1.155884, 850.0267
71, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, closed, -0.4524841, 5.426278, 345.2468, 1.392395, 860.3707
72, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 0.3954592, 0.6374969, -177.4192, 0.8775635, 862.3342
73, neutral, 0, BakerBerryHistoric2, 270, 90, 0, open, open, -7.24823, 9.049925, 354.7711, 1.168945, 864.6031
74, RaunerBackHall, 0, RaunerBackHall, 270, 90, 2, closed, closed, -8.504303, 6.137939, 356.5672, 1.155579, 866.8723
75, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, 90, 2, closed, closed, -11.58267, 10.52077, 182.9256, 1.00238, 869.0858
76, neutral, 0, Zimmerman, -190, -90, 0, closed, open, 2.08895, -0.5052795, -277.4555, 0.8215332, 871.0352
77, AllenSt, 0, AllenSt, 90, 90, 1, closed, open, -11.0896, 6.240408, 174.5682, 1.113831, 873.3324
78, PineEntrance, 0, PineEntrance, 90, -90, 2, closed, closed, 1.305811, 2.97606, 5.527222, 0.9747314, 877.2306
79, Hop4, -3, Hop4, -93, -90, 1, open, closed, -1.2211, 2.953149, -167.3231, 3.229675, 881.588
80, RollinsChapel3, 177, RollinsChapel3, 87, 90, 2, open, open, 2.845484, 31.19427, 87.81342, 3.870483, 888.2293
81, Hop2, -1, Hop2, 89, 90, 1, open, open, -5.1698, 6.596999, 173.5654, 1.058105, 890.9996
82, MooreLot, 180, MooreLot, 270, 90, 1, open, open, -5.803955, 4.253197, 349.4493, 0.8215942, 893.1439
83, 53Commons, 0, 53Commons, -90, -90, 1, closed, open, 2.470528, -0.4895325, -171.8296, 0.9467163, 895.2737
84, neutral, 0, MooreLot, 90, -90, 0, closed, closed, -0.905304, -1.623566, 7.521759, 0.9467163, 897.4458
85, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, 1, closed, closed, 2.716872, 0.2447684, -75.93768, 1.350647, 899.9938
86, Hop2, -1, Hop2, 89, -90, 2, open, open, 1.240028, 0.612253, 3.608673, 0.9747314, 903.2653
87, McLaughlinCluster, 172, McLaughlinCluster, 262, -90, 2, open, open, 2.503173, 1.441785, 182.6494, 0.9327393, 905.4231
88, AllenSt, 0, AllenSt, 90, -90, 2, closed, open, -0.918335, 1.423781, 7.464752, 1.211182, 907.8735
89, neutral, 0, Fairbanks, -90, -90, 0, open, open, 0.9200852, -0.9787903, -171.5992, 0.9743652, 909.9895
90, neutral, 0, PineEntrance, -90, -90, 0, open, open, 1.610773, -0.3841858, -173.8073, 0.8214722, 912.8717
91, Umplebys, -50, Umplebys, -140, -90, 1, open, open, 1.081559, -2.442139, -218.9158, 0.9050293, 915.2106
92, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, 1, closed, closed, 3.576529, 1.536012, -73.12714, 0.9885864, 917.5076
93, neutral, 0, RaunerFirst, 90, 90, 0, open, open, -9.252625, 5.389509, 175.8724, 1.016296, 919.7495
94, Maynard, 0, Maynard, -90, -90, 1, open, open, -1.178406, 1.3471, -172.6362, 0.9053345, 922.2415
95, Umplebys, -50, Umplebys, -140, -90, 1, open, open, 1.985654, 0.4847337, -218.4641, 0.821106, 924.3156
96, RaunerBackHall, 0, RaunerBackHall, -90, -90, 1, closed, closed, 2.653069, 2.956056, -177.5966, 0.9606934, 926.5712
97, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, 1, closed, closed, 0.5084929, 1.04925, 12.08252, 1.058289, 928.8685
98, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, 1, open, open, -7.128265, 6.396141, 350.2801, 1.350342, 931.5833
99, neutral, 0, PineBackHall, 90, -90, 0, open, closed, 0.8493779, 2.156886, 1.064362, 1.086121, 933.9777
100, neutral, 0, RollinsChapel3, 267, 90, 0, closed, closed, -5.181793, 4.436312, 355.4649, 1.267212, 936.5396
101, Umplebys, -50, Umplebys, 220, 90, 2, open, open, -8.075592, 3.679729, 303.5962, 1.294678, 939.0316
102, neutral, 0, 53Commons, 90, 90, 0, open, open, -7.83847, 3.758882, 177.1518, 1.016357, 941.4821
103, PineBackHall, 180, PineBackHall, 270, 90, 1, closed, closed, -8.643555, 5.774856, 356.3551, 0.9465942, 943.8067
104, MooreLot, 180, MooreLot, 270, -90, 2, open, open, 4.423684, -2.502899, 183.291, 1.002686, 946.1182
105, BakerBerryCharter, -90, BakerBerryCharter, 0, -90, 2, closed, closed, 2.270712, -1.584686, -85.10336, 1.016235, 948.3455
106, RaunerBackHall, 0, RaunerBackHall, -90, -90, 1, closed, closed, 0.8013167, 3.377187, -176.1043, 0.9608154, 950.6706
107, Zimmerman, -100, Zimmerman, 350, -90, 2, open, open, -1.522827, 1.402194, 259.4184, 1.030029, 960.0541
108, MooreLot, 180, MooreLot, 270, 90, 1, open, open, -7.683441, 4.298667, 350.0455, 1.099976, 962.5745
109, 53Commons, 0, 53Commons, -90, -90, 1, closed, closed, 3.20171, -1.943237, -172.6535, 1.113586, 964.9547
110, RaunerFirst, 0, RaunerFirst, -90, -90, 1, closed, closed, 3.738271, 0.6529101, -176.5793, 0.9884033, 967.3357
111, Zimmerman, -100, Zimmerman, -10, 90, 1, open, open, -10.01575, 1.348344, 73.35968, 0.9884033, 969.5492
112, AllenSt, 0, AllenSt, 90, 90, 1, closed, closed, -9.645538, 4.973917, 172.6417, 1.016296, 971.902
113, PineBackHall, 180, PineBackHall, 270, -90, 2, closed, closed, -0.2940674, 3.200713, 189.7975, 0.8771973, 974.0184
114, Fairbanks, 0, Fairbanks, 90, -90, 2, closed, closed, 0.03879793, -1.045349, 6.706177, 1.114014, 976.4548
115, RaunerFirst, 0, RaunerFirst, 270, 90, 2, closed, closed, -9.165497, 4.866927, 350.7662, 1.182983, 978.8354
116, RollinsChapel3, 177, RollinsChapel3, 87, -90, 1, open, open, -2.936096, 2.764679, 5.776031, 0.9331665, 980.9519
117, Hop2, -1, Hop2, 89, 90, 1, open, open, -10.08939, 7.287035, 170.8128, 1.086121, 983.2489
118, RaunerFirst, 0, RaunerFirst, -90, -90, 1, closed, closed, -0.0652771, 1.532128, -177.5436, 0.9470215, 985.4486
119, neutral, 0, Hop2, -91, -90, 0, closed, closed, 1.469138, 1.897135, -170.853, 0.7935791, 987.4395
120, PineEntrance, 0, PineEntrance, 90, 90, 1, closed, closed, -9.320801, 5.243675, 165.1404, 0.8912354, 989.6671
121, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, 1, closed, closed, -10.71445, 5.295109, 73.58582, 1.072205, 992.0896
122, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, 1, open, open, -8.980621, 5.43347, 340.8491, 1.183472, 994.6094
123, neutral, 0, Umplebys, 40, 90, 0, closed, closed, -10.49628, 3.778437, 129.1851, 1.072266, 996.865
124, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, 1, closed, closed, 1.995605, 2.703016, 6.168732, 1.030273, 999.0923
125, 53Commons, 0, 53Commons, 270, 90, 2, closed, open, -10.68521, 6.932962, 347.6368, 1.447815, 1001.738
126, Hop4, -3, Hop4, 267, 90, 2, open, open, -9.572784, 6.90886, 347.8968, 1.12793, 1004.104
127, PineBackHall, 180, PineBackHall, 270, 90, 1, closed, closed, -13.94406, 2.721215, 349.6103, 0.9190674, 1006.29
128, neutral, 0, RaunerBackHall, 90, 90, 0, open, open, -11.5293, 5.377107, 167.4289, 1.113892, 1008.768
129, neutral, 0, BakerBerry2nd, 184, 90, 0, open, open, -10.55322, 3.492593, 262.1279, 1.002747, 1011.01
130, Fairbanks, 0, Fairbanks, 90, 90, 1, closed, closed, -11.45148, 5.274451, 172.3056, 1.141846, 1013.446
131, Maynard, 0, Maynard, -90, -90, 1, open, open, 0.2938069, 1.951962, -176.6821, 1.016235, 1015.688
132, RollinsChapel3, 177, RollinsChapel3, 87, -90, 1, open, open, -1.422943, 0.2016582, 9.273682, 0.8773193, 1017.915
133, Hop4, -3, Hop4, -93, -90, 1, open, open, 2.206313, 2.697985, -167.7938, 0.8773193, 1020.018
134, neutral, 0, AllenSt, -90, -90, 0, open, open, 2.203978, 0.8819629, -168.4488, 0.9472046, 1022.343
135, Maynard, 0, Maynard, 270, 90, 2, open, open, -13.03534, 3.309043, 349.076, 1.169495, 1024.891
136, BakerBerry2nd, 94, BakerBerry2nd, 4, 90, 2, closed, closed, -10.91943, 3.847871, 77.79603, 1.43396, 1027.549
137, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, 1, closed, closed, -12.16928, 3.25931, 76.53985, 1.03064, 1029.889
138, Fairbanks, 0, Fairbanks, 90, 90, 1, closed, closed, -12.00595, 2.824738, 166.965, 0.9885254, 1032.172
139, Zimmerman, -100, Zimmerman, -10, 90, 1, open, open, -13.79593, 2.161069, 65.19504, 1.002563, 1034.525
140, neutral, 0, Maynard, 90, 90, 0, closed, closed, -11.63513, 1.263441, 170.3104, 1.044434, 1036.822
141, neutral, 0, BakerBerryCharter, -180, -90, 0, open, open, 1.755623, 1.440008, -261.1509, 1.21106, 1039.411
142, neutral, 0, McLaughlinCluster, 82, -90, 0, closed, closed, 1.970446, -2.903595, 4.976746, 1.08606, 1041.848
143, neutral, 0, Hop4, 87, 90, 0, closed, closed, -11.54968, 2.637001, 169.5066, 1.072266, 1044.173
144, PineEntrance, 0, PineEntrance, 90, 90, 1, closed, closed, -11.64566, 3.564721, 151.2829, 0.9467773, 1046.414
