trialIdx, primeName, targetName, targetSide, condition, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, PineBackHall, PineBackHall_mirror, 90, mirror, closed, closed, -7.223755, 5.449431, 76.75404, 1.135193, 572.1883
2, Fairbanks, Fairbanks_mirror, 90, mirror, closed, open, -7.476227, 3.727994, 78.93311, 1.315735, 578.7529
3, Zimmerman, Zimmerman_mirror, 90, mirror, open, open, -7.646362, 3.884296, 84.23264, 1.107544, 581.8512
4, MooreLot, MooreLot_mirror, -90, mirror, closed, closed, 2.80229, -0.2327576, -89.34222, 1.120178, 584.3218
5, Umplebys, Umplebys_mirror, -90, mirror, open, open, 2.428309, 5.355853, -88.38907, 1.316528, 586.9748
6, neutral, BakerBerryCharter, 90, neutral, closed, closed, -7.336609, 6.044975, 80.10851, 0.9190674, 589.3137
7, Maynard, Maynard_mirror, 90, mirror, closed, closed, -6.259064, 5.518007, 81.01092, 1.304993, 591.8298
8, PineEntrance, PineEntrance, 90, ss, closed, closed, -7.818024, 4.634713, 73.34718, 0.8495483, 595.8534
9, RaunerFirst, RaunerFirst, -90, ss, closed, closed, 2.870538, 4.857214, -86.32678, 1.086121, 598.2202
10, BakerBerryCharter, BakerBerryCharter, -90, ss, open, open, 2.689214, 4.817348, -89.98596, 0.8911743, 600.7123
11, Fairbanks, Fairbanks, -90, ss, open, open, 1.510714, 3.710804, -89.819, 1.030457, 603.0652
12, neutral, Umplebys, -90, neutral, open, open, 1.459614, 3.342741, -86.86713, 1.044312, 605.3067
13, McLaughlinCluster, McLaughlinCluster, 90, ss, open, open, -8.66922, 10.81567, 87.91985, 1.25293, 607.7431
14, RaunerFirst, RaunerFirst_mirror, 90, mirror, open, open, -9.036438, 9.413532, 84.08847, 1.358398, 610.4658
15, neutral, RollinsChapel3, 90, neutral, closed, closed, -4.154877, 11.77318, 87.62837, 1.113953, 612.8047
16, neutral, PineBackHall, 90, neutral, closed, closed, -6.419037, 4.824093, 79.83987, 0.8492432, 615.2827
17, AllenSt, AllenSt, 90, ss, closed, closed, -5.814484, 4.81741, 81.97285, 1.04425, 617.5522
18, neutral, 53Commons, 90, neutral, open, open, -7.217804, 3.017173, 82.18784, 0.9329224, 619.6684
19, BakerBerryCharter, BakerBerryCharter, -90, ss, open, open, 3.393829, 6.181536, -87.82108, 0.8911743, 621.7568
20, Hop2, Hop2, 90, ss, open, open, -7.793304, 5.401617, 80.25222, 0.9607544, 623.845
21, neutral, MooreLot, -90, neutral, closed, closed, 0.5489738, 4.520604, -83.29248, 0.9049683, 625.9472
