trialIdx, primeName, targetName, targetSide, condition, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, BakerBerry2nd, BakerBerry2nd, -90, ss, closed, closed, -3.458344, 48.1468, -59.25381, 2.450439, 752.072
2, NeutralZimmerman, Zimmerman, 90, neutral, open, open, -4.547028, 43.62326, -40.06836, 2.575928, 760.6962
3, BakerBerryHistoric2, BakerBerryHistoric2, 90, ss, open, open, -4.385773, 41.09761, -47.86331, 3.689392, 768.5203
4, Fairbanks, Fairbanks_mirror, -90, mirror, open, open, -4.88446, 41.97532, -52.53912, 2.09259, 773.7872
5, Umplebys, Umplebys, 90, ss, closed, closed, 0.1456283, 40.33285, -31.12021, 2.715088, 779.6624
6, NeutralMooreLot, MooreLot, 90, neutral, open, closed, -6.937103, 40.67429, -34.7666, 2.65918, 784.82
7, Fairbanks, Fairbanks, 90, ss, closed, closed, -8.28714, -4.269714, 81.26807, 0.8913574, 793.4798
8, Zimmerman, Zimmerman_mirror, 90, mirror, open, open, -4.12912, 46.74439, -38.51129, 2.729858, 798.5903
9, Maynard, Maynard_mirror, 90, mirror, closed, closed, 6.762009, 38.73642, -33.85864, 2.75238, 804.6283
10, RollinsChapel3, RollinsChapel3, 90, ss, closed, closed, -7.776825, 44.31915, -30.43665, 2.742859, 810.6149
11, Zimmerman, Zimmerman, -90, ss, closed, open, -0.1983337, 45.52066, -44.92041, 3.814941, 817.3672
12, 53Commons, 53Commons_mirror, -90, mirror, closed, closed, -5.639374, 48.58854, -40.04044, 3.090698, 822.2538
13, NeutralFairbanks, Fairbanks, -90, neutral, open, open, -4.567108, 46.98121, -46.74005, 2.63147, 826.5941
14, PineBackHall, PineBackHall, 90, ss, closed, closed, -3.312531, 53.00055, -46.98303, 2.909058, 831.1047
15, RaunerFirst, RaunerFirst, 90, ss, open, open, -3.045624, 45.73348, -38.70856, 2.464417, 836.5485
16, Hop2, Hop2, -90, ss, closed, closed, -4.467499, 48.82695, -51.69662, 2.227722, 840.7113
17, Maynard, Maynard, -90, ss, open, open, -4.336823, 47.74847, -47.8364, 2.534058, 844.7072
