trialIdx, primeName, targetName, targetSide, condition, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, BakerBerry2nd, BakerBerry2nd, -90, ss, closed, closed, 2.110008, 3.294715, -83.84549, 5.096069, 809.0791
2, NeutralZimmerman, Zimmerman, 90, neutral, open, open, -10.90851, 0.4003505, 71.98725, 2.144165, 823.0453
3, BakerBerryHistoric2, BakerBerryHistoric2, 90, ss, open, open, -6.154236, 8.281084, 71.59752, 2.534119, 828.3497
4, Fairbanks, Fairbanks_mirror, -90, mirror, open, open, -3.25351, -4.85849, -70.94913, 2.410583, 834.2408
5, Umplebys, Umplebys, 90, ss, closed, closed, -5.814301, 5.985661, 82.16856, 2.144165, 838.0975
6, NeutralMooreLot, MooreLot, 90, neutral, open, open, -2.907715, 4.58192, 71.38696, 2.868286, 847.6242
7, Fairbanks, Fairbanks, 90, ss, closed, closed, -6.207184, 0.2168238, 61.64878, 2.742493, 854.5713
8, Zimmerman, Zimmerman_mirror, 90, mirror, open, closed, -7.046051, 0.7851914, 64.79401, 1.764221, 860.3312
9, Maynard, Maynard_mirror, 90, mirror, closed, open, -4.024872, 3.224608, 88.49283, 3.447266, 866.1313
10, RollinsChapel3, RollinsChapel3, 90, ss, closed, closed, -4.116852, 5.285507, 74.60023, 2.714783, 874.1507
11, Zimmerman, Zimmerman, -90, ss, closed, closed, 1.536203, 1.17233, -82.27698, 2.185913, 878.1465
12, 53Commons, 53Commons_mirror, -90, mirror, closed, closed, 0.1924152, -0.178894, -70.17841, 1.960266, 881.8472
13, NeutralFairbanks, Fairbanks, -90, neutral, open, closed, 4.361833, -0.6451721, -78.82596, 2.283386, 886.5881
14, PineBackHall, PineBackHall, 90, ss, closed, closed, -3.434387, 2.324903, 69.94791, 2.018738, 891.0013
15, RaunerFirst, RaunerFirst, 90, ss, open, open, -5.354675, 2.455525, 64.69912, 2.659607, 895.5543
16, Hop2, Hop2, -90, ss, closed, closed, 1.53625, 2.064489, -78.23108, 2.49176, 899.6609
17, Maynard, Maynard, -90, ss, open, closed, 1.579372, 0.9359866, -72.77972, 3.99469, 905.1325
18, NeutralBakerBerryCharter, BakerBerryCharter, 90, neutral, closed, closed, -9.946655, 1.111069, 58.16512, 2.714905, 915.2209
19, Hop4, Hop4, -90, ss, open, closed, 0.5961862, -0.3816528, -65.875, 2.701477, 921.514
20, Hop2, Hop2, -90, ss, closed, closed, 6.999074, -1.987366, -73.53357, 3.759216, 926.7625
21, NeutralHop4, Hop4, 90, neutral, closed, closed, -10.21967, 1.66928, 63.33556, 1.698853, 930.5208
22, NeutralPineEntrance, PineEntrance, 90, neutral, closed, closed, -5.140808, 7.534898, 67.30809, 2.39447, 934.7739
23, Umplebys, Umplebys, 90, ss, closed, open, 2.45225, -2.146149, -26.75739, 3.040955, 939.2013
24, AllenSt, AllenSt, 90, ss, closed, closed, -11.48175, 2.408058, 56.93172, 1.628662, 943.2803
25, 53Commons, 53Commons, 90, ss, open, closed, -6.335144, 1.012607, 67.7245, 2.923523, 947.6382
26, BakerBerryCharter, BakerBerryCharter_mirror, 90, mirror, closed, closed, -8.862, -0.4709167, 64.80714, 1.928711, 951.4467
27, PineEntrance, PineEntrance_mirror, 90, mirror, closed, closed, -10.91208, 0.4669528, 62.24442, 1.677673, 956.563
28, NeutralAllenSt, AllenSt, -90, neutral, open, open, 1.05082, 4.414065, -72.76593, 2.617371, 960.5728
29, RaunerFirst, RaunerFirst, 90, ss, open, open, -9.353058, 3.612409, 64.95368, 1.684692, 963.7054
30, NeutralMaynard, Maynard, 90, neutral, closed, open, -9.020599, 1.295112, 62.87968, 2.617798, 967.3094
31, NeutralPineBackHall, PineBackHall, -90, neutral, open, closed, 0.623504, 4.070117, -77.10217, 2.241516, 971.0547
32, MooreLot, MooreLot, -90, ss, closed, closed, 3.396833, 0.3308205, -77.83722, 2.520325, 975.3987
33, AllenSt, AllenSt_mirror, -90, mirror, open, open, 3.719792, -1.832123, -73.45554, 2.149109, 979.2183
34, RaunerBackHall, RaunerBackHall, -90, ss, closed, closed, 1.736878, -2.787354, -68.02423, 2.325073, 984.4113
35, McLaughlinCluster, McLaughlinCluster_mirror, -90, mirror, closed, closed, 7.644118, -1.82019, -84.5462, 1.515015, 1019.883
36, NeutralRaunerBackHall, RaunerBackHall, 90, neutral, open, closed, -8.187439, 4.85702, 76.62599, 1.810486, 1023.737
37, BakerBerryHistoric2, BakerBerryHistoric2_mirror, -90, mirror, closed, closed, 4.922647, 4.326849, -77.38202, 1.050171, 1026.22
38, MooreLot, MooreLot_mirror, 90, mirror, open, open, -9.084351, 5.230525, 70.3592, 1.656372, 1029.38
39, BakerBerryHistoric2, BakerBerryHistoric2, 90, ss, open, open, -4.87793, 12.45914, 77.74937, 2.826294, 1033.474
40, BakerBerryCharter, BakerBerryCharter, -90, ss, open, open, 4.291971, 3.786126, -79.09595, 3.118286, 1038.179
41, RollinsChapel3, RollinsChapel3, 90, ss, closed, closed, -6.511688, 7.574692, 70.64724, 1.461792, 1041.354
42, BakerBerry2nd, BakerBerry2nd, -90, ss, closed, closed, 2.926381, -3.742981, -59.99927, 1.601074, 1044.375
43, 53Commons, 53Commons, 90, ss, open, open, -6.402039, 1.412139, 76.94716, 1.58728, 1047.842
44, NeutralRaunerFirst, RaunerFirst, -90, neutral, closed, open, 8.8077, 4.897122, -84.6391, 1.671021, 1050.854
45, BakerBerry2nd, BakerBerry2nd_mirror, 90, mirror, open, closed, -5.966705, 8.540601, 65.62833, 2.057739, 1054.443
46, NeutralUmplebys, Umplebys, -90, neutral, open, open, 1.450324, -0.2314453, -82.42966, 1.670776, 1059.252
47, Zimmerman, Zimmerman, -90, ss, closed, closed, 5.100153, -2.972076, -82.16776, 1.587158, 1063.638
48, RollinsChapel3, RollinsChapel3_mirror, -90, mirror, open, open, 4.487347, 0.899151, -81.28046, 2.563599, 1067.58
49, PineBackHall, PineBackHall, 90, ss, closed, closed, -2.734589, 15.75023, 68.72636, 1.44751, 1070.35
50, RaunerBackHall, RaunerBackHall_mirror, 90, mirror, open, closed, -7.165741, 1.798022, 51.3155, 2.401367, 1074.158
51, PineEntrance, PineEntrance, -90, ss, open, closed, 4.229533, 2.827563, -81.83456, 1.32251, 1077.123
52, NeutralMcLaughlinCluster, McLaughlinCluster, -90, neutral, closed, closed, 1.999409, -0.5760803, -75.10797, 2.380859, 1080.802
